DECISION (keep/drop),group,term,type,ai_releases,total_releases,pct_ai,example_sentence,example_relid
,phrase,doppler weather,2-word phrase,55,83,66%,"•Improve understanding of weather and climate processes and prediction capabilities •Develop improved earth system models, and data-driven methods (use of AI/ML) •Develop Technologies for weather management •Develop state-of-art disseminati",259641
,phrase,ensuring equitable,2-word phrase,55,90,61%,"But friends, In the last 10 years, Bharat has transcended this scarcity mindset, curbing corruption and ensuring equitable distribution of developmental benefits across all regions of the country",254180
,phrase,hpc,1-word phrase,55,78,71%,§ The Competency-based Assessment for Holistic Development and the Holistic Progress Card (HPC) for the Foundational stage have been prepared,252139
,phrase,large language models,3-word phrase,55,55,100%,Following were the key innovations discussed and demonstrated during the event amongst others: Large Language Models for Dark Pattern Detection: An exceptional project proposed a browser extension to detect dark patterns on e-commerce sites,253862
,phrase,traffic management,2-word phrase,55,87,63%,"Citizen Safety and Security: Integration of ITMS (Intelligent Traffic Management Systems) having surveillance systems for improved road safety, including CCTV cameras and emergency response mechanisms, to enhance public safety",252516
,phrase,weather prediction,2-word phrase,55,83,66%,The enhanced computational capabilities provided by the HPC System will allow the Ministry of Earth Sciences to further improve existing data assimilation capabilities and refine physics and dynamics of its global weather prediction models ,260413
,phrase,citizen services,2-word phrase,54,76,71%,"PM GatiShakti National Master Plan is conceptualised covering citizen services, industries, businesses, manufacturers, agriculture and farmers and rural systems",252251
,phrase,design and manufacturing,3-word phrase,54,81,67%,"During the event, Shri S Krishnan has also launched the Hardtech 2024, Maker Village’s annual flagship programme, which shall bring together leaders from Industries, Startups, Investors, Academia, R&D organizations in the field of electroni",252483
,phrase,mechatronics,1-word phrase,54,64,84%,"New-age skills like Autonomous Mobile Robotics, Automobile Repairing, Cloud Computing, and Mechatronics are also garnering a lot of popularity in this edition of IndiaSkills 2024",255662
,phrase,neeraj mittal,2-word phrase,54,83,65%,"Neeraj Mittal presents India's Telecom Advancements and Global Collaborations at Mobile World Congress 2024 (MWC24), Barcelona, Spain Secretary Department of Telecommunications, Ministry of Communications, Dr",254344
,phrase,network of skill,3-word phrase,54,90,60%,"(SIM), the Government delivers skill, re-skill and up-skill training through an extensive network of skill development centres/institutes , under various schemes, viz",257161
,phrase,physical systems nm,3-word phrase,54,62,87%,,
,phrase,skill councils,2-word phrase,54,80,68%,"36 Sector Skill Councils (SSCs), led by industry leaders in the respective sectors, have been set up by National Skill Development Corporation (NSDC) which are mandated to identify the skill development needs of respective sectors as well a",257161
,phrase,skills training,2-word phrase,54,81,67%,"This program will target 10,000 youth and women and seeks to provide modern skills training in employment-oriented job roles, promote Sikh artisans such as Sikligars and other groups who are practicing traditional arts & craft forms, foster",254944
,phrase,supercomputing,1-word phrase,54,68,79%,"Maini also noted SETS's involvement in cutting-edge projects, including AI for cybersecurity under the National Supercomputing Mission",256442
,phrase,systems nm,2-word phrase,54,62,87%,,
,phrase,systems nm icps,3-word phrase,54,62,87%,,
,phrase,third largest startup,3-word phrase,54,86,63%,"He also mentioned unprecedented strides in green and alternatives sources of energy, 3 times increase in renewable energy capacity, 20 times capacity in solar energy capacity, affordable data prices have led to digital inclusion, optical fi",252226
,phrase,digital revolution,2-word phrase,53,72,74%,"Bank upon the first such digital revolution in India that ushered in when the Anganwadi Centres were equipped with mobile devices, the Poshan Tracker has facilitated digitization and automation of 11 physical registers used by AWWs thereby ",252592
,phrase,sector skill councils,3-word phrase,53,75,71%,"36 Sector Skill Councils (SSCs), led by industry leaders in the respective sectors, have been set up by National Skill Development Corporation (NSDC) which are mandated to identify the skill development needs of respective sectors as well a",257161
,phrase,technologies including artificial,3-word phrase,53,53,100%,The third resolution- adoption and promotion of emerging technologies including artificial intelligence for improving efficiency transparency productivity and engagement with citizens,252793
,phrase,unified platform,2-word phrase,53,88,60%,SIDH is the unified platform for the Indian skilling ecosystem,258287
,phrase,autonomous systems,2-word phrase,52,64,81%,"It is a multi-domain simulator that supports Unmanned Ground Vehicles (UGVs), Unmanned Underwater Vehicles (UUVs), Unmanned Surface Vehicles (USVs), and Unmanned Aerial Vehicles (UAVs), serving as an excellent development tool for agencies ",256629
,phrase,chatbots,1-word phrase,52,56,93%,"We are already seeing incredible value from AI innovation in India, from supporting farmers with digital chatbots to transforming economic opportunities for underserved communities through translation tools, and Microsoft is dedicated to be",253986
,phrase,data repository,2-word phrase,52,86,60%,"Dibyajyoti Chutia, Head GID, North Eastern Space Applications Centre, Umiam, Meghalaya, Department of Space, Government of India highlighted North Eastern Spatial Data Repository (NeSDR)",255008
,phrase,mobile congress,2-word phrase,52,72,72%,Curtain Raiser of World Telecom Standardization Assembly Delhi 2024 (WTSA 2024) and India Mobile Congress (IMC 2024),254810
,phrase,nielit,1-word phrase,52,71,73%,"ics and Information Technology (MeitY), through National Institute of Electronics and IT (NIELIT) is hosting the first-ever Future Skills Summit in Guwahati on February 15, 2024",253726
,phrase,role of artificial,3-word phrase,52,52,100%,"Taha Haaziq passionately endorsed the role of Artificial Intelligence (AI) in positively impacting the lives of individuals with disabilities, aligning with the festival's theme of technological innovation",252218
,phrase,space technologies,2-word phrase,52,84,62%,"Rao, DG-SAMEER; Shri Rajesh Harsh, CI, SAMEER, Mumbai; Dr Om Krishan Singh, Scientist 'D', MeitY; Shri Amit Mahajan, Director Paras Defense and Space Technologies Ltd and the Senior officials in Government",253100
,phrase,tech companies,2-word phrase,52,69,75%,Big tech companies are also starting new projects to utilize India's AI potentials,253664
,phrase,weather ready,2-word phrase,52,52,100%,"He urged the countrymen, business & industries, farmers & fishermen, researchers & academia and all socio-economic stakeholders to utilise climate & weather information in all their activities including human & community, agricultural, heal",252409
,phrase,architectures,1-word phrase,51,72,71%,"The “ Tejas Center of Excellence for Wireless Communications ” at Tejas Networks seeks to advance research in frontier technologies, standards and architectures that will underpin next-generation mobile networks as they evolve towards 6G an",260392
,phrase,digital twin,2-word phrase,51,58,88%,"Useful insights on port-led development model, convergence approach for good governance , infrastructure as a facilitator of trade , positive impact of Atal Setu – Mumbai trans-harbor link on logistics movement in the surrounding area, dome",252251
,phrase,industrial corridor development,3-word phrase,51,82,62%,d IIT Delhi sign MoU to Collaborate on Assessment of Location Optimality for the National Industrial Corridor Development Programme using PM GatiShakti Portal National Industrial Corridor Development Corporation Limited (NICDC) under Depart,254157
,phrase,krishnan secretary meity,3-word phrase,51,83,61%,,
,phrase,meta,1-word phrase,51,81,63%,"0, RPA and 3D printing, AR/VR, Meta verse, etc",253944
,phrase,ready and climate,3-word phrase,51,51,100%,"He urged the countrymen, business & industries, farmers & fishermen, researchers & academia and all socio-economic stakeholders to utilise climate & weather information in all their activities including human & community, agricultural, heal",252409
,phrase,access to digital,3-word phrase,50,68,74%,Access to digital literacy is vital for their personal as well as professional growth,256628
,phrase,agriculture health,2-word phrase,50,74,68%,,
,phrase,bridging the digital,3-word phrase,50,71,70%,"• We Lead Lounge : This year a dedicated gender lounge “We Lead Lounge” will focus on women participation in various walks of life, financial inclusion and bridging the digital gender gap",252444
,phrase,conversational,1-word phrase,50,53,94%,” An important feature of this unique platform is “StartupGPT” which is an AI-based conversational platform whose function is to help ease information access for those who are navigating exhaustive data,254172
,phrase,critical and emerging,3-word phrase,50,70,71%,"Being a technology enthusiast, he worked towards enhancing the technical threshold of all ranks in Northern Command and pushed for ‘Critical and Emerging Technologies’ like Big Data Analytics, AI, Quantum and Blockchain-based solutions",253882
,phrase,data driven governance,3-word phrase,50,81,62%,"As each of the 100 Smart Cities began to implement ‘smart’ solutions, data has become a significant asset and an enabler for data driven governance, leading to urban transformation",254573
,phrase,kumar pawan,2-word phrase,50,51,98%,,
,phrase,mahesh kumar pawan,3-word phrase,50,50,100%,,
,phrase,real world applications,3-word phrase,50,71,70%,"The fest over the course of two days covered immersive technical sessions from industry experts, deliberation over technological application for economy growth and display of path-breaking ideas for real world applications",269078
,phrase,soar,1-word phrase,50,78,64%,"When 25-30 lakh reforms are made, the confidence of the common man will soar",258680
,phrase,world applications,2-word phrase,50,71,70%,"The goal is to validate through real-world applications and demonstration of use cases, to showcase potential benefits in planning and designing of infrastructure using Digital Twin, telecom data and AI",255666
,phrase,data exchange,2-word phrase,49,75,65%,"Players Data Exchange This information was given by the Union Minister of Agriculture and Farmers’ Welfare, Shri Arjun Munda in a written reply in Rajya Sabha today",253045
,phrase,democratising,1-word phrase,49,67,73%,"As India progresses towards a Viksit Bharat on the back of a strong innovation driven economy, platforms such as these would play an important role in democratising access to information and capital that can accelerate the commercialization",254172
,phrase,deployable,1-word phrase,49,73,67%,"Collaborative projects will target deployable solutions, leveraging combined expertise in 5G, 6G, advanced cellular technologies, Software Defined Radios & Cognitive Radios, Satellite Communications, Antenna Design, Free Space Optics, and T",256383
,phrase,economic forum,2-word phrase,49,79,62%,"resilient global economy and a preferred investment destination at Davos The 54th World Economic Forum (WEF) Annual Meeting, set for January 15 to January 19, 2024, in Davos, Switzerland, brings forth a compelling narrative as India claims ",252444
,phrase,innovation led growth,3-word phrase,49,80,61%,"r Jitendra Singh links the ""Atal Innovation Mission"" with the Modi Government's thrust on innovation led growth and scalable StartUps Addressing the Annual Atal Innovation Incubator Conclave ""AIM SUMVAAD"", here today Union Minister of State",283328
,phrase,weather stations,2-word phrase,49,73,67%,"•Improve understanding of weather and climate processes and prediction capabilities •Develop improved earth system models, and data-driven methods (use of AI/ML) •Develop Technologies for weather management •Develop state-of-art disseminati",259641
,phrase,accelerators,1-word phrase,48,73,66%,"With the purpose of enabling handshakes and connecting startups with a spectrum of inventors such as VCs, angel investors, family offices, and HNIs- as well as potential corporate partners, the event is expected to host 1000+ startups, 10+ ",254203
,phrase,assimilation,1-word phrase,48,71,68%,There will be improved data assimilation with increased ingestion of the observations,259641
,phrase,forecasting system,2-word phrase,48,77,62%,"VisioNxt Fashion Trend Insight and Forecasting System On September 5, 2024, the Ministry launched VisioNxt, a pioneering fashion trend insight and forecasting system using Artificial Intelligence (AI) and Emotional Intelligence (EI)",260174
,phrase,innovation centre,2-word phrase,48,71,68%,"eitY launches “Centre of Excellence in Intelligent Internet of Things Sensors” and “India Innovation Centre for Graphene” in Kerala today Shri S Krishnan, Secretary, Ministry of Electronics and Information Technology (MeitY), Government of ",252483
,phrase,nag,1-word phrase,48,74,65%,"Achievements and initiatives under NRCP : Project for ‘Pollution abatement and conservation of River Nag at Nagpur, Maharashtra’ sanctioned at a cost of Rs",252049
,phrase,range weather,2-word phrase,48,72,67%,"India Meteorological Department (IMD), National Centre for Medium Range Weather Forecasting (NCMRWF), Centre for Marine Living Resources and Ecology (CMLRE), National Centre for Coastal Research (NCCR), National Centre for Seismology (NCS),",252082
,phrase,time digital,2-word phrase,48,77,62%,"Today, 46 percent of the world’s total real-time digital transactions take place in India",252872
,phrase,aims at enabling,3-word phrase,47,73,64%,"The SIM aims at enabling youth of India to get future ready, equipped with industry relevant skills",257161
,phrase,based applications,2-word phrase,47,68,69%,"Commencing from Port Warnings in 1865, IMD came up with climate service in 1908, aviation meteorological service in 1911, ozone monitoring in 1928, agrometeorological service in 1945, positional astronomy in 1955, marine services & flood me",252409
,phrase,case management,2-word phrase,47,76,62%,He highlighted the creation of digital court infrastructure to create technologically equipped court systems for efficient case management for all,255377
,phrase,cyberspace,1-word phrase,47,73,64%,"The participants brainstormed wide-ranging options ranging from military applications of cyberspace, impact of drones and satellites on the modern battlefield, besides delving upon hardware and software options to empower soldiers",255410
,phrase,generation technologies,2-word phrase,47,65,72%,Major General Sunil Mehrotra from Signals Directorate and Shri SB Taneja from DRDO examined options to leverage present and next-generation technologies to enhance the capabilities of Indian Army,255410
,phrase,health monitoring,2-word phrase,47,74,64%,"AI based analytics using field photographs for crop health assessment and crop health monitoring using Satellite, weather & soil moisture datasets for rice and wheat crop",253044
,phrase,industry demand,2-word phrase,47,64,73%,"The Awarding Bodies recognised by NCVET are expected to develop the qualifications as per the industry demand and map them with the identified occupations as per the National Classification of Occupation, 2015, of Ministry of Labour and Emp",257161
,phrase,language barriers,2-word phrase,47,59,80%,"(h) Literacy Week was nationally celebrated by the States/UTs breaking all language barriers from 1st September to 8th September, 2023",252139
,phrase,leaders welcomed,2-word phrase,47,73,64%,"The leaders welcomed the decision to create Bharat Mart at Jebel Ali, which will further promote bilateral trade and serve as a platform for enhancing the utilization of CEPA by leveraging the strategic location of Jebel Ali port",253764
,phrase,learner,1-word phrase,47,75,63%,"SWAYAM Plus primarily focuses on achieving the following: Building an ecosystem for all stakeholders in professional and career development, including learners, course providers, industry, academia, and strategic partners; Enabling a mechan",254237
,phrase,sim aims,2-word phrase,47,73,64%,"The SIM aims at enabling youth of India to get future ready, equipped with industry relevant skills",257161
,phrase,tier iii,2-word phrase,47,75,63%,"As a part of the three tiered training programme, a total of 99 trainings (Tier I- 47, Tier II – 18 & Tier III- 34) were conducted during January 2023 to December 2023",252049
,phrase,wearable,1-word phrase,47,58,81%,"These start-ups are revolutionising key areas such as Artificial Intelligence and Robotics, Undersea Detection and Communication, Unmanned Aerial Vehicles, Wearable Technology, Blast & Ballistics Proof Structures and Equipment, smart textil",254458
,phrase,craftsmen training,2-word phrase,46,72,64%,0 by NIMI in 12 languages and 4 New Age courses under the Craftsmen Training Scheme (CTS) in Artificial Intelligence and Cyber Security which will prepare India’s youth for the technology-driven market,254960
,phrase,craftsmen training scheme,3-word phrase,46,72,64%,0 by NIMI in 12 languages and 4 New Age courses under the Craftsmen Training Scheme (CTS) in Artificial Intelligence and Cyber Security which will prepare India’s youth for the technology-driven market,254960
,phrase,deepfakes,1-word phrase,46,50,92%,"Deepfake Detection Tools: Create Deepfake Detection Tools to enable real-time identification and mitigation of deepfakes, preventing misinformation and harm for a secure and trustworthy digital ecosystem",264358
,phrase,divides,1-word phrase,46,69,67%,"Acknowledge the emerging risks and challenges posed by AI systems, particularly advanced AI systems, including those related to safety and security and potential malicious uses; mis and disinformation; harmful biases leading to discriminati",256642
,phrase,equipped with industry,3-word phrase,46,72,64%,"The SIM aims at enabling youth of India to get future ready, equipped with industry relevant skills",257161
,phrase,get future,2-word phrase,46,72,64%,"The SIM aims at enabling youth of India to get future ready, equipped with industry relevant skills",257161
,phrase,get future ready,3-word phrase,46,72,64%,"The SIM aims at enabling youth of India to get future ready, equipped with industry relevant skills",257161
,phrase,integrated command,2-word phrase,46,64,72%,Notable achievements of Smart Cities Mission: Smart Infrastructure Development: All 100 smart cities have operational Integrated Command and Control Centre (ICCC) which are utilizing data to make data-based decisions,252516
,phrase,intelligence internet,2-word phrase,46,46,100%,,
,phrase,intelligence quantum,2-word phrase,46,46,100%,,
,phrase,social good,2-word phrase,46,49,94%,with India demonstrating to the world how this transformative technology can be used for social good and for all,252675
,phrase,technologies artificial,2-word phrase,46,46,100%,,
,phrase,application development,2-word phrase,45,49,92%,"IndiaAI Application Development Initiative - The IndiaAI Application Development Initiative will promote the AI applications in critical sectors for the problem statements sourced from Central Ministries, State Departments, and other instit",254635
,phrase,digital backbone,2-word phrase,45,57,79%,"These initiatives of integrated IT solutions serving as the core operational software for FCI, shall provide a single source of information and streamline functions with a common digital backbone",253840
,phrase,handheld,1-word phrase,45,69,65%,"But what is more significant of their contribution is that this country, while handling its own problem, handheld 100 other countries, Covaxin Maitri",255447
,phrase,medium range weather,3-word phrase,45,68,66%,"India Meteorological Department (IMD), National Centre for Medium Range Weather Forecasting (NCMRWF), Centre for Marine Living Resources and Ecology (CMLRE), National Centre for Coastal Research (NCCR), National Centre for Seismology (NCS),",252082
,phrase,multilingual access,2-word phrase,45,45,100%,"By incorporating Web Translation of BHASINI platform, the ministry aims to provide multilingual access to its services and information, ensuring that citizens from diverse linguistic backgrounds can easily navigate and engage with governmen",260281
,phrase,next generation technologies,3-word phrase,45,62,73%,He also guided them to integrate next generation technologies such as Artificial Intelligence and Machine learning to increase efficiency and harness true potential,256230
,phrase,real time digital,3-word phrase,45,73,62%,"Envisaged advantages of AIMC are savings in time of construction without compromising quality of construction, increased productivity, real time digital documentation & monitoring and better control on quality parameters such as smooth leve",267104
,phrase,safe and trusted,3-word phrase,45,48,94%,"Extensive dialogue on the concept of safe and trusted AI, its ethical implications and the societal impact of AI technologies were deliberated upon through panel discussions with breakout group sessions on India harnessing ethical implement",255878
,phrase,semiconductor design,2-word phrase,45,62,73%,India was absent from the global ecosystem of semiconductor design—talent from India was flowing to global R&D and continues to do so,254574
,phrase,skill courses,2-word phrase,45,58,78%,"NSDC, under the Market led program, provides support to training providers that collaborate and align skill courses with industry demand",257161
,phrase,technology ict,2-word phrase,45,67,67%,,
,phrase,agristack,1-word phrase,44,58,76%,"AgriStack architecture has the following foundational layers: - Core registries Base databases Farmers Database: Farmers ID linked with land records Geo-referencing of plots Crop Survey, Crop planning and Soil Mapping, Soil Fertility Unifie",253045
,phrase,capability centres,2-word phrase,44,65,68%,"4 % OF WORLD’S COMMERCIAL EXPORTS IN 2022 INDIA’S SHARE IN DIGITALLY DELIVERED SERVICES EXPORTS STANDS AT 6% IN 2023; INDIA HAS 1,580 GLOBAL CAPABILITY CENTRES INDIA WITNESSES 92 LAKH FOREIGN TOURIST ARRIVALS IN 2023 INDIAN E-COMMERCE INDUS",257157
,phrase,data integration,2-word phrase,44,66,67%,He said that after intensive hard work the Ministry of Home Affairs has prepared many databases in the last 5 years and a lot of work is also being done on data integration,252603
,phrase,digital skills,2-word phrase,44,62,71%,The presence of these prominent industry leaders in Guwahati underscores the significance of empowering the youth of Assam and the entire region with digital skills,253798
,phrase,global semiconductor,2-word phrase,44,69,64%,"The prestigious event will bring together global semiconductor industry leaders, policymakers, innovators, and academics to engage in critical discussions aimed at strengthening India’s position in the global semiconductor ecosystem",259490
,phrase,impact based,2-word phrase,44,72,61%,"Commencing from Port Warnings in 1865, IMD came up with climate service in 1908, aviation meteorological service in 1911, ozone monitoring in 1928, agrometeorological service in 1945, positional astronomy in 1955, marine services & flood me",252409
,phrase,india’s semiconductor,2-word phrase,44,62,71%,"Sensesemi aims to drive India’s semiconductor capabilities by providing connected SoC for everything from smart wearables, med-tech sector and other connected devices",253169
,phrase,nlp,1-word phrase,44,68,65%,"Shri Sarbananda Sonowal launches Maritime Single Window and MMD Modules in SagarSetu (NLP-Marine) Union Minister for the Ports, Shipping & Waterways and AYUSH , Shri Sarbananda Sonowal, launched two digital modules within the SagarSetu (NLP",252965
,phrase,pm setu,2-word phrase,44,67,66%,"Underlining that India offers countless opportunities for its youth, the Prime Minister highlighted the recent launch of the ₹60,000 crore PM Setu scheme aimed at linking numerous ITIs across the country with industry",277235
,phrase,shaping the global,3-word phrase,44,72,61%,They play a crucial role in shaping the global agenda for standardization of telecom and information and communication technologies (ICTs),254810
,phrase,singh additional secretary,3-word phrase,44,67,66%,,
,phrase,skill gaps,2-word phrase,44,64,69%,"He knows where the market is going, he knows where the skill gaps are, he is laying a roadmap for the youth to be future-ready, and the skills that they would need",254522
,phrase,tech innovation,2-word phrase,44,60,73%,Digital India futureLABS will act as a catalyst for this and in rounding off our ambitions of ensuring the Indian flag on every segment of emerging Tech Innovation,253079
,phrase,based systems,2-word phrase,43,68,63%,"In addition, ERNET India is providing web accessibility service, campus Wi-Fi services, smart classrooms and connectivity through Terrestrial and Satellite based systems to the educational & research institutes in the country",252066
,phrase,communication technology ict,3-word phrase,43,63,68%,,
,phrase,global capability centres,3-word phrase,43,64,67%,"4 % OF WORLD’S COMMERCIAL EXPORTS IN 2022 INDIA’S SHARE IN DIGITALLY DELIVERED SERVICES EXPORTS STANDS AT 6% IN 2023; INDIA HAS 1,580 GLOBAL CAPABILITY CENTRES INDIA WITNESSES 92 LAKH FOREIGN TOURIST ARRIVALS IN 2023 INDIAN E-COMMERCE INDUS",257157
,phrase,how artificial,2-word phrase,43,43,100%,The Union WCD Minister highlighted how Artificial Intelligence was used for the first time in a national level award to search for feats of excellence,252607
,phrase,india’s telecom,2-word phrase,43,60,72%,"Collaboration with partner nations and international bodies such as ITU, APT is crucial for India’s Telecom growth as telecom sector/company can be benefited from the technology, patents, contributions to ITU, SEPs",255645
,phrase,positioning the country,3-word phrase,43,70,61%,"“You don’t predict the future, you shape it”, Mr Adani said as he credited the Prime Minister for reorienting India to become the world’s fastest-growing nation and positioning the country as the global social champion driven by the philoso",252223
,phrase,skilled talent,2-word phrase,43,71,61%,"We will continue to expand our clean energy partnership in the sectors of hydropower, solar and green hydrogen and jointly develop new projects, which channel our technological prowess, vibrancy of the business sector, and skilled talent of",255125
,phrase,startup ecosystems,2-word phrase,43,64,67%,"Main highlight of the day was the detailed comparison of the Indian and Vietnamese Startup ecosystems presented by Prof Le Thai Phong, Dean of Faculty of Business Administration, Foreign Trade University, Vietnam",252590
,phrase,swayam,1-word phrase,43,69,62%,"§ The existing 12 DTH Channels of SWAYAM PRABHA for School Education are meant to support and reach those who do not have access to the internet have been extended to 200 channels with more than 13,000 contents produced for telecast in 31 l",252139
,phrase,technologies across,2-word phrase,43,70,61%,"The workshop will explore the application of Internet of Things (IoT), Artificial Intelligence/Machine Learning (AI/ML), Unmanned Aerial Vehicles (UAVs) and other cutting-edge technologies across the entire value chain of agriculture, from ",255044
,phrase,advanced digital,2-word phrase,42,67,63%,This air conditioning plant is equipped with advanced digital control systems and smart technology integration economising manpower for running the plant,252476
,phrase,computer emergency,2-word phrase,42,61,69%,"ration in cyber security to enhance India’s cyber-resilience in Financial Sector Indian Computer Emergency Response Team (CERT-In) is a Government organization under the Ministry of Electronics and Information Technology, Government of Indi",256229
,phrase,computer emergency response,3-word phrase,42,61,69%,"ration in cyber security to enhance India’s cyber-resilience in Financial Sector Indian Computer Emergency Response Team (CERT-In) is a Government organization under the Ministry of Electronics and Information Technology, Government of Indi",256229
,phrase,data acquisition,2-word phrase,42,68,62%,"Installation, testing and commissioning of Real Time Data Acquisition System (RTDAS) for Narmada Control Authority (NCA), Bhopal by CWC: all 48 nos",252049
,phrase,dataset,1-word phrase,42,62,68%,"It hinges on a 7 billion-parameter indigenously developed and designed Large Language Model (LARA), optimized with a unique dataset and Low-Rank Adaptation (LoRA), enabling precise detection by analyzing HTML content structured into Reseour",253862
,phrase,digital education,2-word phrase,42,66,64%,"§ Under PM e-VIDYA, DIKSHA is the one nation, one digital education infrastructure",252139
,phrase,diverse linguistic,2-word phrase,42,50,84%,"logy with education, particularly in the context of preserving and promoting the nation’s diverse linguistic heritage/diversity",257866
,phrase,frs,1-word phrase,42,49,86%,"National Water Development Agency (NWDA): Inter-Linking of Rivers Project Under National Perspective Plan (NPP) formulated by Government of India, 30 inter-basin water transfer links (16 Peninsular and 14 Himalayan component) have been iden",252049
,phrase,iit jodhpur,2-word phrase,42,52,81%,"The distinguished Jury members were drawn from prestigious institutions including National Forensic Sciences University, Goa, Central Detective Training Institute Jaipur, IIT Patna, Indian Cybercrime Coordination Centre (14C), IIT Jodhpur, ",254095
,phrase,kumar pawan faujdar,3-word phrase,42,42,100%,,
,phrase,language technologies,2-word phrase,42,42,100%,Ministry of Electronics and Information Technology (MEITY) has launched Mission Digital India Bhashini in the year 2022 to develop core language technologies for speech and text translation for 22 Scheduled Indian languages in the open sour,257866
,phrase,pawan faujdar,2-word phrase,42,42,100%,**** Mahesh Kumar/ Pawan Faujdar/ Navin Sreejith,284384
,phrase,real world challenges,3-word phrase,42,66,64%,A nationwide contest that calls for young innovators and all the citizens of the country to participate under the ‘Design for BioE3’ to address real world challenges was issued in two categories (category 1 for school students from class 6 ,291749
,phrase,technical and professional,3-word phrase,42,56,75%,"These partnerships facilitate the provision of technical and professional skills training in modern technologies, including Artificial Intelligence (AI), Big Data Analytics (BDA), Blockchain, Cloud Computing, and more",257625
,phrase,twins,1-word phrase,42,54,78%,"Additionally, port planning initiatives include the implementation of digital twins, advanced analytics-driven yard management, AI/ML-based berth allotment, and the establishment of a Sagarmala digital center of excellence for research on u",252965
,phrase,voice based,2-word phrase,42,44,95%,"Additionally, the Ministry utilised the voice based AI-chatbot “Kisan-eMitra” to assist farmers with queries regarding PM-KISAN, in their own language",259987
,phrase,weather radars,2-word phrase,42,68,62%,"•Improve understanding of weather and climate processes and prediction capabilities •Develop improved earth system models, and data-driven methods (use of AI/ML) •Develop Technologies for weather management •Develop state-of-art disseminati",259641
,phrase,world challenges,2-word phrase,42,66,64%,"This platform aims to raise awareness, stimulate innovation, encourage collaboration, and address real-world challenges in the field of technical textiles",252224
,phrase,academia startups,2-word phrase,41,58,71%,,
,phrase,additive manufacturing,2-word phrase,41,61,67%,"India reiterated that with the digital revolution still unfolding and with increasing diffusion of technologies such as additive manufacturing and 3D printing, data analytics, Artificial Intelligence, Internet-of-Things etc",254294
,phrase,apprenticeship training,2-word phrase,41,62,66%,"4 Cr more than BE 2023-24 * In the scheme ‘ National Apprenticeship Training Scheme(NATS) ’, an allocation of Rs",252979
,phrase,bharatgen,1-word phrase,41,41,100%,"BharatGen: A Milestone for India’s Tech Leadership “BharatGen is a proud example of India's commitment to advancing homegrown technologies, by positioning India as a global leader in the field of Generative AI, much like our achievements wi",260560
,phrase,climate services,2-word phrase,41,53,77%,"Our Bharat has proudly emerged as a regional leader in weather and climate services, sharing its expertise and technological advancements with South Asian, Southeast Asian, and Middle Eastern nations",252381
,phrase,contextual,1-word phrase,41,68,60%,"The workshop also featured a contextual ideation process that encouraged innovative thinking about technology's role in governance, driving meaningful discussions on how to best utilize digital advancements for public benefit",262030
,phrase,emergency response team,3-word phrase,41,59,69%,"cyber security to enhance India’s cyber-resilience in Financial Sector Indian Computer Emergency Response Team (CERT-In) is a Government organization under the Ministry of Electronics and Information Technology, Government of India",256229
,phrase,multilingual support,2-word phrase,41,55,75%,"This Exhibition, that was a result of collaboration of various government organisations, took visitors through some of its salient features such as mobile integration for easy accessibility, Expert Helpdesk, built-in AI and Multilingual Sup",254623
,phrase,numerical weather,2-word phrase,41,56,73%,"To achieve the above, much-needed activities such as augmentation of an observational network across the country, improving the resolution of the numerical weather prediction model along with data assimilation, implementation of Artificial ",262872
,phrase,numerical weather prediction,3-word phrase,41,54,76%,"To achieve the above, much-needed activities such as augmentation of an observational network across the country, improving the resolution of the numerical weather prediction model along with data assimilation, implementation of Artificial ",262872
,phrase,prototyping,1-word phrase,41,68,60%,"The Hackathon is aimed towards designing & prototyping innovative app or software-based solutions such as; browser extensions, plugins, add-ons, mobile applications etc",253862
,phrase,societal impact,2-word phrase,41,67,61%,"Extensive dialogue on the concept of safe and trusted AI, its ethical implications and the societal impact of AI technologies were deliberated upon through panel discussions with breakout group sessions on India harnessing ethical implement",255878
,phrase,support system dss,3-word phrase,41,61,67%,,
,phrase,system dss,2-word phrase,41,61,67%,,
,phrase,technological progress,2-word phrase,41,67,61%,Our technological progress is also an important mechanism of soft diplomacy because relationships are defined by what a country has to gain from another in the economy,252381
,phrase,technology innovation hubs,3-word phrase,41,43,95%,"COMET, one of the 25 Technology Innovation Hubs (TIH) set up under the National Mission for Interdisciplinary Cyber Physical Systems (NM-ICPS), of the Department of Science and Technology (DST) for enhancing the nation's capabilities in Adv",253581
,phrase,telecom ecosystem,2-word phrase,41,67,61%,"C-DOT’s diverse product portfolio spanning a wide array of technologies that include switching & routing, optical communication, wireless communication, network security, advanced security-based solutions, Internet of Things, Artificial Int",254358
,phrase,world economic forum,3-word phrase,41,64,64%,"as a resilient global economy and a preferred investment destination at Davos The 54th World Economic Forum (WEF) Annual Meeting, set for January 15 to January 19, 2024, in Davos, Switzerland, brings forth a compelling narrative as India cl",252444
,phrase,additional secretary meity,3-word phrase,40,57,70%,"Speaking at the workshop Shri Abhishek Singh, Additional Secretary MeitY and CEO of IndiaAI Mission highlighted how Trust in AI can be built through Fairness, Transparency, and Accountability with diverse and inclusive data sets",270093
,phrase,advanced data,2-word phrase,40,45,89%,"To this end, working with our clinical partner, THSTI, we utilise advanced data science and AI/ML techniques to build tools to predict unfavourable birth outcomes",254142
