relid,release_date,title,url,mention_type,is_ai_relevant,is_substantive,n_systems,confidence
292302,2026-07-30,PARLIAMENT QUESTION: BRAHMAPUTRA FLOOD FORECASTING AND CLIMATE RESILIENCE MISSION,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292302,AI system,1,1,2,0.8
292305,2026-07-30,ASSESSMENTS ON ADEQUACY OF TRANSMISSION AND DISTRIBUTION INFRASTRUCTURE,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292305,Not AI,0,0,0,0.9
292306,2026-07-30,ASSESSMENT OF NATIONAL POWER GRID,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292306,Not AI,0,0,0,0.9
292307,2026-07-30,"Government Strengthens Cyber Resilience Against AI-Enabled Cyber Threats through AI-Driven Detection, Vulnerability Assessment and Threat Intelligence",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292307,AI system,1,1,2,0.85
292313,2026-07-30,"Government Adopts Multi-Pronged Roadmap to Build a Robust Semiconductor Talent Pipeline Across Design, Manufacturing and Advanced Packaging",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292313,Not AI,0,0,0,0.9
292314,2026-07-30,"Government Strengthens Framework to Counter AI-Generated Deepfakes through Legal Safeguards, Platform Accountability and Citizen Protection",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292314,Policy,1,1,1,0.75
292317,2026-07-30,Union Minister Shri Giriraj Singh to Inaugurate Centre of Excellence for Handloom Technology at IIT Delhi on 3 August,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292317,Research,1,1,0,0.65
292321,2026-07-30,OUTCOMES OF BRICS CULTURAL WORKING GROUP MEETINGS,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292321,Talk,1,1,0,0.65
292333,2026-07-30,PARLIAMENT QUESTION: BIOTECHNOLOGY AND AI BASED RESEARCH,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292333,Research,1,1,1,0.65
292342,2026-07-30,Promotion of Digital Technologies in Water Resources Management,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292342,AI system,1,1,1,0.55
292347,2026-07-30,PARLIAMENT QUESTION: REFORMS IN UPSC AND SSC,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292347,Talk,1,1,1,0.6
292361,2026-07-30,NHAI Launches Initiative to Develop World-Class Public Toilet Facilities at Toll Plazas,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292361,Not AI,0,0,0,0.8
292362,2026-07-30,PARLIAMENT QUESTION: Environmental clearances in protected areas,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292362,Not AI,0,0,0,0.75
292369,2026-07-30,Government of India Promotes AI and Digital Tech Adoption to Boost MSME Productivity,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292369,Policy,1,1,0,0.85
292373,2026-07-30,NATIONAL SMART PUBLIC TRANSPORT MISSION,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292373,Not AI,0,0,0,0.8
292387,2026-07-30,"Rajya Sabha Passes Public Examinations (Prevention of Unfair Means) Amendment Bill, 2026 by Voice Vote",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292387,Talk,1,1,1,0.55
292390,2026-07-31,PM to visit Andhra Pradesh and Karnataka on 1 August,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292390,Not AI,1,0,0,0.75
292391,2026-07-31,Ministry of Ayush and IndiaAI Join Hands to Harness Artificial Intelligence for the Future of Traditional Medicine,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292391,Policy,1,1,0,0.85
292398,2026-07-31,"TDB-DST Supports M/s Foodtechnics Pvt. Ltd., Bengaluru, for Commercialization of Indigenous Compact Automatic Roti Making Machine",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292398,Not AI,0,0,0,0.75
292399,2026-07-31,"TDB-DST Supports M/s RoadGrid India Private Limited, Indore, for Commercialization of Indigenous Universal EV Charging Technology",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292399,Not AI,0,0,0,0.75
292405,2026-07-31,AI-based tool Legal Research Analysis Assistant (LegRAA) has been developed by the Artificial Intelligence Division of NIC and Centre of Excellence for eCourts,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292405,AI system,1,1,2,0.9
292412,2026-07-31,"Under Mission Saksham Anganwadi and Poshan 2.0, a package of six services are provided to eligible beneficiaries through Anganwadi Centres",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292412,Not AI,0,0,0,0.8
292425,2026-07-31,Update on Pradhan Mantri Surakshit Matritva Abhiyan,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292425,Not AI,0,0,0,0.8
292427,2026-07-31,Ayurveda–Modern Medicine Integration through Multi-Pronged Ayush Initiatives,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292427,Not AI,0,0,0,0.85
292436,2026-07-31,IndiaAI and Ministry of AYUSH Sign MoU to Accelerate AI Innovation in Traditional Healthcare,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292436,Policy,1,1,0,0.85
292442,2026-07-31,"Dr. Jitendra Singh calls for connecting ""Grassroots Innovators"" with country's formal innovation ecosystem",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292442,Talk,1,1,0,0.6
292448,2026-07-31,Weaving Innovation with Tradition: How VCF-SC Helped a First-Generation SC Woman Entrepreneur Build a Thriving Textile Enterprise,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292448,Not AI,0,0,0,0.8
292456,2026-07-31,National Digitization Drive Workshop Strengthens India’s Manuscript Preservation Framework; Union Minister of Culture Calls for Sustained National Effort in Digitization,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292456,Talk,1,0,0,0.55
292465,2026-07-31,India as a Tourism Hub,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292465,Not AI,1,0,0,0.65
292473,2026-07-31,Centre for Development of Telematics excels in Intellectual Property creation with expanding portfolio of Patents and Awardees,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292473,Not AI,0,0,0,0.6
292486,2026-08-01,"Cabinet approves 'Samudra Manthan' - National Offshore Exploration Scheme with an outlay of ?84,084 crore",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292486,Policy,1,1,1,0.65
292488,2026-08-01,Naxal-Free India,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292488,Talk,1,1,1,0.65
292498,2026-08-01,English rendering of PM's address at the launch of development projects in Andhra Pradesh,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292498,Not AI,1,0,0,0.7
292501,2026-08-01,"Prime Minister Shri Narendra Modi lays the foundation stone, inaugurates and dedicates to the nation multiple development projects worth over ?17,900 crore in Bhogapuram in Vizianagaram, Andhra Pradesh",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292501,Not AI,1,0,0,0.7
292509,2026-08-01,Powering India's Technological Self-Reliance: How VCF-SC Enabled a Scheduled Caste Entrepreneur to Build an Advanced Electronics Manufacturing Enterprise,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292509,Not AI,0,0,0,0.8
292510,2026-08-01,NHAI Successfully Launches Multi-Lane Free Flow Tolling System at Shahjahanpur Toll Plaza on the Delhi-Jaipur Section of NH-48,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292510,Not AI,0,0,0,0.7
292513,2026-08-01,Union Textiles Minister Shri Giriraj Singh reaffirms Government's commitment to transforming India's cotton ecosystem at the 56th Foundation Day of CCI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292513,Not AI,0,0,0,0.8
292514,2026-08-01,"English rendering of PM’s address during the inauguration of the Swami Vivekananda Cultural Youth Centre, Viveka Smaraka in Mysuru",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292514,Not AI,1,0,0,0.75
292519,2026-08-01,"Prime Minister Shri Narendra Modi inaugurates the Swami Vivekananda Cultural Youth Centre - Viveka Smaraka at Mysuru, Karnataka",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292519,Not AI,1,0,0,0.75
292534,2026-08-02,"Handloom Hackathon 2.0 Concludes at IIT Delhi, Showcasing Technology-led Innovations for India's Handloom Sector",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292534,Training,1,1,0,0.7
292543,2026-08-02,English rendering of PM’s speech at the launch of ‘Nasha Mukt Yuva for Viksit Bharat Sankalp Abhiyan’ via VC,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292543,Not AI,0,0,0,0.85
292546,2026-08-02,Prime Minister Shri Narendra Modi launches ‘Nasha Mukt Yuva for Viksit Bharat Sankalp Abhiyan’,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292546,Not AI,1,0,0,0.75
292548,2026-08-02,New Delhi to host “GI & Beyond 2.0 Summit” on 5 August,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292548,Talk,1,1,0,0.55
292552,2026-08-02,4th Tri-Services Future Warfare Course set to begin in New Delhi,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292552,Not AI,1,0,0,0.7
292554,2026-08-02,Empowering SC-led Innovation: How VCF-SC Enabled Thrishanku Technologies to Strengthen India's Defence Electronics Ecosystem,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292554,Funding,1,1,0,0.7
292555,2026-08-02,Transforming Waste into Wealth: How VCF-SC Enabled a Scheduled Caste Woman Entrepreneur to Build a Sustainable Rubber Recycling Enterprise,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292555,Not AI,0,0,0,0.8
292557,2026-08-02,Prime Minister Shri Narendra Modi Launches 'Nasha Mukt Yuva for Viksit Bharat Sankalp Abhiyan'; Calls Upon Every Citizen to Join the Movement,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292557,Not AI,1,0,0,0.75
292569,2026-08-03,Vehicle-to-Vehicle Communication Systems,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292569,Not AI,0,0,0,0.8
292575,2026-08-03,Military-civil integration key to a robust defence ecosystem to tackle emerging challenges: Raksha Mantri at AFHQ Civilian Services Day celebrations,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292575,Not AI,0,0,0,0.8
292577,2026-08-03,"Modernization of National Sample Surveys through adoption of digital platforms such as Computer Assisted Personal Interview (CAPI) integrated with e- sigma platform incorporating in-built validation checks, AI-enabled chatbot, and multilingual interfaces",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292577,Talk,1,1,1,0.55
292583,2026-08-03,New hybrid magneto rheometer can advance nano smart magnetorheological fluid technologies,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292583,Not AI,0,0,0,0.85
292584,2026-08-03,"Dr. Jitendra Singh appreciates CVC's sustained reforms in strengthening vigilance ecosystem, says pendency in disciplinary cases brought down sharply through systemic improvements",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292584,Not AI,1,0,0,0.65
292586,2026-08-03,Skill Development and Expanding Workforce,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292586,Training,1,1,0,0.75
292589,2026-08-03,Curriculum in ITIs,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292589,Training,1,1,0,0.75
292592,2026-08-03,DIGITAL TRANSFORMATION OF MUSEUMS AND CULTURAL INSTITUTIONS,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292592,AI system,1,1,2,0.6
292593,2026-08-03,"India achieves near-universal banking coverage, with 99.92% of inhabited villages now served by a banking outlet",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292593,AI system,1,1,2,0.8
292595,2026-08-03,The Making of a Sporting Nation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292595,Talk,1,1,1,0.65
292600,2026-08-03,MODERNISATION OF THE POWER SECTOR AND RELIABLE ELECTRICITY SUPPLY,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292600,Not AI,0,0,0,0.9
292603,2026-08-03,Samudra Manthan – National Offshore Exploration Scheme,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292603,Funding,1,1,1,0.55
292605,2026-08-03,EVALUATIONS OF MEASURABLE OUTCOMES DELIVERED BY SCM,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292605,Not AI,0,0,0,0.9
292606,2026-08-03,CDS Addresses Participants at the Fourth Edition of Tri-Services Future Warfare Course,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292606,Not AI,1,0,0,0.7
292607,2026-08-03,CSIR–CRRI Flags Off Indigenous Network Survey Vehicle for Urban Road Monitoring; Launches Field Survey for CAQM-Supported Standard Framework Project in Delhi NCR,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292607,AI system,1,1,1,0.65
292619,2026-08-03,Strengthening Higher Education for Emerging Technologies,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292619,Training,1,1,0,0.75
292622,2026-08-03,Union Minister Shri Giriraj Singh inaugurates Centre of Excellence for Handloom Technology at IIT Delhi,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292622,Research,1,1,0,0.55
292625,2026-08-03,Establishment of Foreign Universities Campuses in India,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292625,Not AI,1,0,0,0.6
292628,2026-08-03,Mental Health of Students,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292628,Not AI,1,0,0,0.6
292630,2026-08-04,GI Tags: Scaling Traditional Wealth into Global Brands,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292630,Not AI,1,0,0,0.7
292634,2026-08-04,"On International Clouded Leopard Day, India Strengthens Conservation through Dedicated Conservation Action Plan for the Wild Cat",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292634,Not AI,0,0,0,0.9
292637,2026-08-04,"Under the leadership of Prime Minister Shri Narendra Modi and guidance of Union Home Minister Shri Amit Shah, 274 fugitive criminals were brought back to India from 36 countries between 2019 and 2026",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292637,Not AI,0,0,0,0.85
292640,2026-08-04,GRANTS TO STARTUPS IN TECHNICAL TEXTILES,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292640,Not AI,0,0,0,0.9
292642,2026-08-04,PLI SCHEME FOR TEXTILES,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292642,Not AI,0,0,0,0.9
292648,2026-08-04,Steps Taken to Promote Ayush Medicine,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292648,Not AI,0,0,0,0.9
292654,2026-08-04,"Quarterly Highlights of Action Against Unsolicited Commercial Communications (UCC) For the period 1st April, 2026 to 30th June, 2026 (Q1 of FY 2026-27)",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292654,AI system,1,1,1,0.6
292655,2026-08-04,ZERO TOLERANCE FOR DRUG TRAFFICKERS,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292655,Not AI,1,0,0,0.6
292661,2026-08-04,‘SEAFARER-FIRST’ INITIATIVE,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292661,Not AI,0,0,0,0.9
292670,2026-08-04,Measure undertaken to strengthen Health Research,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292670,Funding,1,1,0,0.6
292674,2026-08-04,Indigenous African Swine Fever (ASF) Vaccine Developed by ICAR Bolsters India's Biosecurity,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292674,Not AI,0,0,0,0.9
292676,2026-08-04,CROP DIVERSIFICATION AND MICRO IRRIGATION,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292676,Not AI,1,0,0,0.6
292685,2026-08-04,Meeting of Heads of National Statistical Offices of BRICS Countries,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292685,Talk,1,1,0,0.7
292686,2026-08-04,"C-DAC and Geological Survey of India sign Umbrella MoU to Strengthen Geoscience, Mineral Exploration and Disaster Management through Next-Generation Technologies",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292686,AI system,1,1,1,0.55
292704,2026-08-04,State-wise distribution of projects sanctioned under the “Scheme for Enhancement of Competitiveness in the Indian Capital Goods Sector- Phase-II,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292704,Not AI,0,0,0,0.9
292705,2026-08-04,"As on 10.07.2026, a total of 523 e-buses have been deployed across the country under the PM-eBus Sewa–PSM Scheme",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292705,Not AI,0,0,0,0.9
292717,2026-08-04,"BRICS-TCA Symposium and JMC Meeting Convenes under the Guidance of MSDE, Government of India",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292717,Talk,1,1,0,0.65
292721,2026-08-04,"Union Minister of State for Rural Development Dr. Pemmasani Chandrasekhar Reviews Progress of DDU-GKY 2.0, Calls for Timely Implementation and Digital Reforms",https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292721,Not AI,0,0,0,0.9
292725,2026-08-05,NCS PORTAL,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292725,AI system,1,1,1,0.6
292729,2026-08-05,Roads Reimagined: The Rise of India’s Electric Vehicles Ecosystem,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=292729,Talk,1,1,0,0.6
