relid,release_date,ministry,title,discovered_by_term,discovered_in_round,n_terms,all_matched_terms,url
274498,2025-08-11,Ministry of Jal Shakti,SEWAGE TREATMENT PLANTS IN VARIOUS STATES,smart,0,2,smart | cities mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274498
274507,2025-08-11,Ministry of Finance,Comprehensive reforms taken up to instill credit discipline in PSBs,automated,0,3,automated | loan appraisal | msme borrowers,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274507
274509,2025-08-11,Ministry of Skill Development and Entrepreneurship,Number of Functional JSSs,training data,1,1,training data,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274509
274511,2025-08-11,Ministry of Skill Development and Entrepreneurship,Skill Needs and Enhancing Training Initiatives,AI,0,39,AI | ML | artificial intelligence | companies like ibm | partnerships facilitate | amazon web | amazon web services | like ibm cisco | ibm cisco | future skills courses | age future | age future skills | introduced new age | professional skills training | robotics mechatronics | scheme and dual | training to iti | ensure industry linkages | cts to provide | needs of respective | implementing flexi mou | councils sscs led | implementing flexi | sscs led | ahmedabad and mumbai | overarching regulator | regulator establishing regulations | regulator establishing | overarching regulator establishing | industry validations | tvet space | training tvet space | dgt has introduced | map them | training dst which | skills courses | cisco | robotics | sector skill councils,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274511
274512,2025-08-11,Ministry of Skill Development and Entrepreneurship,Public Private Partnerships for Skill Development in Rural Areas,AI,0,21,AI | artificial intelligence | partnerships facilitate | amazon web | amazon web services | professional skills training | scheme and dual | training to iti | implementing flexi mou | implementing flexi | ahmedabad and mumbai | training dst which | cisco | network frsn | initiatives under corporate | frsn | skills network | future right skills | right skills network | skills network frsn | sector skill councils,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274512
274528,2025-08-11,"Ministry of Environment, Forest and Climate Change.",PARLIAMENTARY QUESTION: Green Job Creation,smart,0,3,smart | Smart City | sector skill councils,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274528
274531,2025-08-11,Ministry of Corporate Affairs,IEPFA Convenes a Meeting with Nodal Officers from Companies across India to advance investor protection and improve compliance mechanisms,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274531
274535,2025-08-11,Ministry of Culture,SEVA BHOJ YOJANA,given only,1,1,given only,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274535
274536,2025-08-11,Ministry of Culture,International Manuscript Heritage Conference,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274536
274545,2025-08-11,Ministry of Labour & Employment,e-SHRAM PLATFORM ENHANCEMENTS,analytics,0,1,analytics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274545
274557,2025-08-11,Ministry of Women and Child Development,Union Minister Smt. Annpurna Devi chairs meeting of the Parliamentary Consultative Committee of the Ministry of Women & Child Development,facial recognition,0,20,facial recognition | face recognition | system frs | recognition system | facial | mile tracking | last mile tracking | block coordinators | frs | district coordinators | officers block coordinators | officers block | mother father | beneficiaries registered | genuine beneficiaries | ration thr | home ration thr | ekyc | home ration | take home ration,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274557
274564,2025-08-12,NITI Aayog,"India's largest ‘Tinkering’ event by Atal Innovation Mission unites 10,000 schools in live national innovation movement",launchpad,1,2,launchpad | robotics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274564
274567,2025-08-12,Ministry of Science & Technology,"Success Story of ""SVAMITVA"" (Survey Village and Mapping with Improvised Technology in Village Areas) scheme Empowers Citizens to Be Masters of Their Own Destiny: Dr. Jitendra Singh",AI,0,4,AI | artificial intelligence | smart | machine learning,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274567
274577,2025-08-12,Cabinet,"Cabinet approves semiconductor manufacturing units in ODISHA, PUNJAB and ANDHRA PRADESH with an outlay of Rs.4600 crore",artificial intelligence,0,2,artificial intelligence | Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274577
274579,2025-08-12,Ministry of Electronics & IT,"Cabinet approves semiconductor manufacturing units in ODISHA, PUNJAB and ANDHRA PRADESH with an outlay of Rs.4600 crore",artificial intelligence,0,2,artificial intelligence | Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274579
274580,2025-08-12,Ministry of Textiles,EXPORT TARGET FOR TEXTILES 2030,Samarth,1,1,Samarth,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274580
274602,2025-08-12,Ministry of Agriculture & Farmers Welfare,DIGITAL AGRICULTURE MISSION,automated,0,3,automated | satellite weather | satellite weather soil,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274602
274611,2025-08-12,Ministry of Petroleum & Natural Gas,RESPONSE TO CONCERNS ON 20% BLENDING OF ETHANOL IN PETROL AND BEYOND,Automobile,1,1,Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274611
274623,2025-08-12,Ministry of Home Affairs,MODERNIZATION OF CAPF,analytics,0,21,analytics | mitigation centre cfmc | centre cfmc | cfmc | financial intermediaries | action and seamless | uts law enforcement | banks financial intermediaries | intermediaries payment aggregators | payment aggregators telecom | together for immediate | aggregators telecom service | financial intermediaries payment | uts law | intermediaries payment | aggregators telecom | i4c where | agency are working | intermediaries and representatives | i4c where representatives | established at i4c,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274623
274628,2025-08-12,Ministry of Rural Development,Construction of Houses under Pradhan Mantri Awaas Yojana- Gramin,ekyc,1,1,ekyc,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274628
274633,2025-08-12,Ministry of Rural Development,Aadhaar-Based Payments System in Mahatma Gandhi National Rural Employment Guarantee Scheme,automated,0,1,automated,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274633
274634,2025-08-12,"Ministry of Environment, Forest and Climate Change.",India Reaffirms Global Leadership in Elephant Conservation on World Elephant Day 2025,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274634
274639,2025-08-12,Ministry of Electronics & IT,"UIDAI Signs 5-Year Cutting-Edge R&D Agreement with Indian Statistical Institute (ISI) to Boost Aadhaar Robustness, Security & Reliability Further Through Data-Driven Innovations",data science,1,2,data science | detection tools,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274639
274646,2025-08-12,Ministry of Shipping,‘Green & Digital Maritime Corridors Dialogue’ at JNPA Sets Stage for India Maritime Week 2025 in Mumbai,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274646
274649,2025-08-13,Ministry of Panchayati Raj,210 Panchayat Leaders to attend Independence Day Celebrations in New Delhi as Special Guests,AI,0,2,AI | SabhaSaar,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274649
274651,2025-08-13,Ministry of Skill Development and Entrepreneurship,MSDE Hosts Consultative Workshop to Drive National Scheme for ITI Upgradation in Odisha,AI,0,2,AI | Automobile,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274651
274669,2025-08-13,Ministry of Culture,IBC to organise 3rd International Conference of Young Buddhist Scholars (ICYBS) on the 22nd August 2025,artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274669
274687,2025-08-14,Ministry of Panchayati Raj,AI Boost for Panchayats: Union Minister Shri Rajiv Ranjan Singh to Launch ‘SabhaSaar’ today in New Delhi,AI,0,8,AI | artificial intelligence | Bhashini | language translation | SabhaSaar | across linguistic | powered meeting | linguistic backgrounds,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274687
274694,2025-08-14,Ministry of Communications,BSNL activates network-level Anti-Spam for mobile users—malicious links in SMS are blocked before delivery,AI,0,4,AI | ML | deep learning | Blockchain,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274694
274697,2025-08-14,Ministry of Science & Technology,New smart sensor can detect hazardous gases like explosive hydrogen & toxic nitrogen dioxide,AI,0,2,AI | smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274697
274708,2025-08-14,Ministry of Defence,"Operation Sindoor emerged as a balanced military response amidst the asymmetric warfare being witnessed globally, says Raksha Mantri in his ‘Sandesh to Soldiers’ on the eve of 79th Independence Day",smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274708
274711,2025-08-14,Ministry of Minority Affairs,"On the Eve of Independence Day, Hon’ble Minister for Minority Affairs Shri Kiren Rijiju interacted with Special Guests of Independence Day Ceremony-2025",AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274711
274723,2025-08-14,Ministry of Defence,"President approves 127 Gallantry awards, 40 Distinguished Service awards & 290 Mention-in-Despatches on the eve of 79th Independence Day",Samarth,1,1,Samarth,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274723
274727,2025-08-14,President's Secretariat,ADDRESS TO THE NATION BY THE HON’BLE PRESIDENT OF INDIA SMT. DROUPADI MURMU ON THE EVE OF THE 79TH INDEPENDENCE DAY,AI,0,2,AI | artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274727
274738,2025-08-14,Ministry of Jal Shakti,"Union Minister of State for Railways and Jal Shakti, Shri V Somanna interacted with over 150 Sarpanches from across India today",SAMPURNA,1,1,SAMPURNA,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274738
274743,2025-08-15,Ministry of Statistics & Programme Implementation,"Sensitization cum review meeting of Statistical Advisers held on August 14, 2025 at Vigyan Bhawan, New Delhi",AI,0,4,AI | ML | machine learning | big data,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274743
274744,2025-08-15,Prime Minister's Office,Atmanirbhar Bharat: The Foundation of a Strong and Developed India,AI,0,2,AI | space capabilities,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274744
274746,2025-08-15,Prime Minister's Office,Major Announcements by Prime Minister Shri Narendra Modi During His I-Day Address,launchpad,1,1,launchpad,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274746
274747,2025-08-15,Ministry of Finance,"Prime Minister Shri Narendra Modi, on the occasion of 79th Independence Day, highlights how Goods and Services Tax (GST) is a significant reform which has benefited the nation",automated,0,1,automated,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274747
274749,2025-08-15,Prime Minister's Office,PM Modi’s 79th I-Day Address: A Vision for a Viksit Bharat 2047,india’s own space,1,2,india’s own space | gaganyaan mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274749
274752,2025-08-15,Prime Minister's Office,English rendering of the text of Prime Minister Shri Narendra Modi's address from the ramparts of Red Fort on the occasion of 79th Independence Day,artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274752
274753,2025-08-15,Ministry of Defence,"Operation Sindoor is a demonstration of India’s strategic autonomy & defence self-reliance, says PM Modi in his address on 79th Independence Day",space capabilities,1,1,space capabilities,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274753
274758,2025-08-15,Prime Minister's Office,Highlights from the Prime Minister Shri Narendra Modi’s address on the 79th Independence Day,AI,0,2,AI | space capabilities,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274758
274764,2025-08-15,Ministry of Panchayati Raj,Panchayat Leaders Attend 79th Independence Day Celebrations at Red Fort ; Showcase Spirit of Rural India,AI,0,7,AI | artificial intelligence | Bhashini | language translation | SabhaSaar | real world use | across diverse linguistic,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274764
274781,2025-08-16,Ministry of Shipping,Mumbai to Host 'Waterways to Wonder: Unlocking Cruise Tourism' Conference,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274781
274789,2025-08-17,"Ministry of Consumer Affairs, Food & Public Distribution",National Consumer Disputes Redressal Commission along with 10 States Achieve Over 100% Disposal Rate of Consumer Cases in July 2025,smart,0,6,smart | chatbot | analytics | ocms | confonet | multilingual support,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274789
274809,2025-08-18,Ministry of Jal Shakti,USING MODERN TECHNOLOGY FOR WATER MANAGEMENT AND CONSERVATION,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274809
274814,2025-08-18,Ministry of Science & Technology,“TDB backs Indigenous AI-Powered Blood Testing Device for Primary Healthcare”,AI,0,2,AI | ML,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274814
274816,2025-08-18,Ministry of Parliamentary Affairs,Features added in NeVA to incorporate linguistic diversity,Bhashini,1,4,Bhashini | NeVA | machine translation | text to text,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274816
274821,2025-08-18,Ministry of Culture,Anthropological Survey of India,AI,0,5,AI | ML | artificial intelligence | smart | machine learning,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274821
274830,2025-08-18,Ministry of Skill Development and Entrepreneurship,NAVYA INITIATIVE,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274830
274857,2025-08-18,Department of Space,"Space experiments conducted by Subhanshu Shukla personify India as ""Vishwabandhu"" Bharat",vyommitra,1,2,vyommitra | first indian astronaut,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274857
274858,2025-08-18,Prime Minister's Office,Prime Minister interacts with Astronaut Shubhanshu Shukla,gaganyaan mission,1,1,gaganyaan mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274858
274859,2025-08-18,Ministry of Road Transport & Highways,FASTag Annual Pass Crosses Landmark of Five Lakh Users Within Four Days of Launch,google’s,1,1,google’s,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274859
274865,2025-08-19,Prime Minister's Office,Prime Minister interacts with Astronaut Shubhanshu Shukla,gaganyaan mission,1,1,gaganyaan mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274865
274877,2025-08-19,Ministry of Textiles,CONTRIBUTION OF TEXTILE INDUSTRY IN INDUSTRIAL PRODUCTION,Samarth,1,1,Samarth,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274877
274878,2025-08-19,Ministry of Textiles,SUPPORT CLEAN TECH MANUFACTURING,Samarth,1,1,Samarth,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274878
274880,2025-08-19,Ministry of Textiles,CLIMATE SMART AGRO TEXTILE DEMONSTRATION CENTRE,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274880
274890,2025-08-19,"Ministry of Personnel, Public Grievances & Pensions","Dr. Jitendra Singh presents ""National Anubhav Awards"" to retirees",artificial intelligence,0,3,artificial intelligence | Human Intelligence | pension reforms,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274890
274897,2025-08-19,"Ministry of Fisheries, Animal Husbandry & Dairying",Cattle Breed under Rashtriya Gokul Mission,AI,0,2,AI | mission in march,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274897
274913,2025-08-19,Ministry of Agriculture & Farmers Welfare,BOOSTING THE FARM PRODUCTIVITY,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274913
274927,2025-08-19,Ministry of Rural Development,Safety Hazards in Pradhan MantriAwaasYojana-Gramin Housing,AI,0,2,AI | ML,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274927
274928,2025-08-19,Ministry of Communications,Union Minister of Communications Shri Jyotiraditya Scindia ushers in a New Digital Era of Postal Services,analytics,0,1,analytics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274928
274938,2025-08-19,Prime Minister's Office,IFS Officer Trainees of 2024 Batch call on PM,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274938
274953,2025-08-20,Prime Minister's Office,"Prime Minister shares an article highlighting India’s progress in affordable broadband, UPI and digital governance",AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274953
274957,2025-08-20,"Ministry of Fisheries, Animal Husbandry & Dairying",Rashtriya Gokul Mission and Livestock Development in Jharkhand,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274957
274960,2025-08-20,Ministry of Social Justice & Empowerment,IMPLEMENTATION OF CHINTAN SHIVIR 2025 RECOMMENDATIONS,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274960
274973,2025-08-20,Ministry of Science & Technology,PARLIAMENT QUESTION: Increase in R&D Expenditure to Gross Domestic Product,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274973
274975,2025-08-20,Ministry of Science & Technology,PARLIAMENT QUESTION: QUANTUM COMPUTING,algorithmic,1,1,algorithmic,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274975
274982,2025-08-20,Ministry of Earth Science,PARLIAMENT QUESTION: WEATHER FORECASTING DURING MONSOON,AI,0,4,AI | ML | smart | weather surveillance,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274982
274984,2025-08-20,Ministry of Earth Science,PARLIAMENT QUESTION: LOSS OF LIVES AND HEALTH CRISIS DUE TO INTENSE HEAT,pest attacks,1,1,pest attacks,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274984
274989,2025-08-20,Ministry of Home Affairs,RISE OF AI-DRIVEN CYBERCRIME AND MEASURES TO CURB FINANCIAL LOSSES,AI,0,33,AI | artificial intelligence | analytics | big data | mitigation centre cfmc | give visibility | centre cfmc | cfmc | cybercrime complaints | crimes and criminals | platform data | financial intermediaries | action and seamless | uts law enforcement | banks financial intermediaries | intermediaries payment aggregators | payment aggregators telecom | together for immediate | aggregators telecom service | financial intermediaries payment | uts law | intermediaries payment | aggregators telecom | providers it intermediaries | i4c where | agency are working | tackle cybercrime | intermediaries and representatives | i4c where representatives | established at i4c | astr | failing reverification | techno legal,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274989
274990,2025-08-20,Ministry of Earth Science,PARLIAMENT QUESTION: PROGRESS REPORT OF MISSION MAUSAM,AI,0,6,AI | ML | artificial intelligence | machine learning | gpu | cyclone intensity,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274990
274995,2025-08-20,Ministry of Earth Science,PARLIAMENT QUESTION: AI IN WEATHER FORECASTING,AI,0,15,AI | ML | artificial intelligence | chatbot | machine learning | deep learning | generative | gpu | forecasting system bharatfs | cyclone intensity | advisories for agriculture | aas bulletins | ibfs and appropriate | friday in english | graphics processing,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=274995
275001,2025-08-20,Ministry of Defence,"Plate Cutting Ceremony of ICG’s Fourth NGOPV Held at MDL, Mumbai",AI,0,2,AI | predictive,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275001
275003,2025-08-20,Ministry of Statistics & Programme Implementation,Utilisation of PLFS findings,analytics,0,1,analytics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275003
275006,2025-08-20,Ministry of Information & Broadcasting,‘BhashaSetu’ Challenge to Boost Scalable AI-Powered Real-Time Translation Across Indian Languages,AI,0,7,AI | ML | artificial intelligence | machine learning | across indian languages | real time translation | time translation,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275006
275011,2025-08-20,Ministry of Electronics & IT,UIDAI onboards Starlink for Aadhaar-Based Customer Verification,ekyc,1,1,ekyc,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275011
275012,2025-08-20,Ministry of Communications,Modernisation and Digitisation of India Post System,intelligent,0,1,intelligent,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275012
275013,2025-08-20,Ministry of Skill Development and Entrepreneurship,Promotion of Emerging Sector Skills and Future Readiness,AI,0,35,AI | ML | companies like ibm | partnerships facilitate | amazon web | amazon web services | like ibm cisco | ibm cisco | future skills courses | age future | age future skills | professional skills training | scheme and dual | training to iti | ensure industry linkages | cts to provide | needs of respective | implementing flexi mou | councils sscs led | implementing flexi | sscs led | ahmedabad and mumbai | overarching regulator | regulator establishing regulations | regulator establishing | overarching regulator establishing | industry validations | tvet space | training tvet space | training dst which | skills courses | opportunities and entrepreneurship | cisco | robotics | sector skill councils,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275013
275026,2025-08-20,Ministry of Electronics & IT,"National Supercomputing Mission Powers India’s Research Ecosystem with 37 Systems, 40 Petaflops Capacity, Supporting Over 10,000 Researchers Across Diverse Fields",AI,0,6,AI | artificial intelligence | compute | computing infrastructure | application development | computing power,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275026
275027,2025-08-20,Office of Principal Scientific Advisor to GoI,PSA Prof. Ajay Kumar Sood chaired the 4th review meeting on progress to improving India's regulatory ecosystem for medical products,analytics,0,1,analytics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275027
275031,2025-08-20,Ministry of Textiles,Indian Textile Exports Show Resilience and Growth Despite Mixed Global Trade Sentiments,Samarth,1,1,Samarth,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275031
275055,2025-08-21,Ministry of Defence,"Raksha Mantri meets Gp Capt Shubhanshu Shukla, the first Indian astronaut onboard the International Space Station",first indian astronaut,1,2,first indian astronaut | gaganyaan mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275055
275066,2025-08-21,Ministry of Jal Shakti,INDO-DUTCH STRATEGIC WATER PARTNERSHIP,artificial intelligence,0,1,artificial intelligence,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275066
275078,2025-08-21,Ministry of Tribal Affairs,REFORMS IN EMRS OPERATIONS,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275078
275088,2025-08-21,Ministry of Tribal Affairs,"Tribal Research, Information, Education, Communication and Events (TRI-ECE)",analytics,0,1,analytics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275088
275094,2025-08-21,Ministry of Culture,Gyan Bharatam Mission,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275094
275098,2025-08-21,Ministry of Tribal Affairs,SPECIAL ACADEMIC SUPPORT THROUGH EMRSs,AI,0,2,AI | smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275098
275104,2025-08-21,Ministry of Tribal Affairs,Preservation of Tribal Languages of Tripura,language technology,1,1,language technology,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275104
275109,2025-08-21,Ministry of Tourism,Tourism Diplomacy for Global Branding as a Part of Viksit Bharat,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275109
275118,2025-08-21,Ministry of Communications,Roadmap for Rollout of 6G Technology in the Country,AI,0,4,AI | intelligent | secure connectivity | comet,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275118
275123,2025-08-21,Department of Space,"""Shubhanshu's Space voyage vindicates the vision of an Atmanirbhar and Vishwabandhu Bharat"": Dr Jitendra Singh",mission india’s,1,2,mission india’s | gaganyaan mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275123
275128,2025-08-21,Department of Atomic Energy,PARLIAMENT QUESTION: DAE ROLE IN CANCER RESEARCH TREATMENT,AI,0,3,AI | ML | robot,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275128
275135,2025-08-21,Ministry of Electronics & IT,UIDAI unveils Aadhaar-based authentication framework for Cooperative Banks to benefit across India,ekyc,1,1,ekyc,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275135
275145,2025-08-21,Ministry of Earth Science,Parliament Question: NEW INITIATIVES TO STRENGTHEN INDIA'S CLIMATE PREPAREDNESS,AI,0,8,AI | ML | artificial intelligence | smart | machine learning | change and extreme | computing infrastructure | forecasting system bharatfs,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275145
275149,2025-08-21,Ministry of Science & Technology,Crafting smart materials: Tiny flakes and material design impact energy saving technologies,smart,0,1,smart,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275149
275152,2025-08-21,Ministry of Earth Science,PARLIAMENT QUESTION: MISSION MAUSAM,AI,0,12,AI | ML | artificial intelligence | smart | machine learning | data science | use of science | objectives strengthening | understanding and use | science for societal | manpower in earth | society early,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275152
275154,2025-08-21,Ministry of Earth Science,Parliament Question: PROGRESS REPORT OF MISSION MAUSAM,AI,0,6,AI | ML | artificial intelligence | machine learning | gpu | cyclone intensity,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275154
275155,2025-08-21,Ministry of Earth Science,Parliament Question: BHARAT FORECAST SYSTEM,model development,1,1,model development,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275155
275172,2025-08-21,Office of Principal Scientific Advisor to GoI,"28th Prime Minister’s Science, Technology & Innovation Advisory Council (PM-STIAC) Meeting discusses National Plant Health Initiative",AI,0,3,AI | pest surveillance | npss,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275172
275176,2025-08-22,Ministry of Commerce & Industry,Shendra-Bidkin Industrial Area (AURIC) approves new land allotments,smart,0,7,smart | industrial corridor dmic | corridor dmic | township limited | industrial township limited | maharashtra industrial township | mitl,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275176
275177,2025-08-22,"Ministry of Consumer Affairs, Food & Public Distribution",National Consumer Helpline Facilitates (NCH) Refunds of ?2.72 Crore in July 2025,automated,0,1,automated,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275177
275178,2025-08-22,Ministry of Road Transport & Highways,Fastag Annual Pass Scheme,fastag based,1,1,fastag based,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275178
275180,2025-08-22,Ministry of Electronics & IT,Government pushes semiconductor design innovation with the Design Linked Incentive (DLI) Scheme,smart,0,5,smart | predictive | machine learning | surveillance cameras | critical applications,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275180
275186,2025-08-22,Ministry of Science & Technology,A new window into the stars by modeling stellar atmosphere,compute,1,1,compute,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275186
275204,2025-08-22,Ministry of Electronics & IT,Prime Minister Narendra Modi to inaugurate fourth edition of SEMICON India 2025,AI,0,3,AI | smart | critical applications,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275204
275208,2025-08-22,Department of Space,ISRO’s National Space Meet 2.0 Charts Roadmap for Viksit Bharat 2047 Through Space Applications,AI,0,4,AI | smart | analytics | big data,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275208
275209,2025-08-22,Ministry of Culture,Young Buddhist Scholars Unite at 3rd ICYBS Conference to Explore “Wisdom Transmission in Buddha Dhamma in the 21st Century”,AI,0,3,AI | addressing mental health | addressing mental,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275209
275210,2025-08-22,Ministry of Culture,Young Buddhist Scholars Unite at 3rd ICYBS Conference to Explore “Wisdom Transmission in Buddha Dhamma in the 21st Century”,AI,0,3,AI | addressing mental health | addressing mental,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275210
275214,2025-08-23,Prime Minister's Office,Prime Minister Shri Narendra Modi’s address on the occasion of National Space Day 2025,robotics,1,2,robotics | gaganyaan mission,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275214
275215,2025-08-23,Prime Minister's Office,English rendering of PM’s video message on the occasion of National Space Day,robotics,1,1,robotics,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275215
275216,2025-08-23,Ministry of Culture,Ujjain to Host “???mantic” – PHDCCI’s 2nd Global Spiritual Tourism Conclave on 27 August 2025,AI,0,1,AI,https://archive.pib.gov.in/archive2/PrintRelease.aspx?relid=275216
