term,round,channel,primary_parent,all_parents,releases_matched,releases_added_when_introduced,example_context
tackle cybercrime,1,2-gram,analytics,analytics(15),19,1,"g together for immediate action and seamless cooperation to tackle cybercrime. So far, more than 9.42 lakhs SIM cards and 2,63,348 IMEI"
intermediaries and representatives,1,3-gram,analytics,analytics(15),16,1,"diaries, Payment Aggregators, Telecom Service Providers, IT Intermediaries and representatives of States/UTs Law Enforcement Agency are working together f"
i4c where representatives,1,3-gram,analytics,analytics(15),16,1,"yber Fraud Mitigation Centre (CFMC) has been established at I4C where representatives of major banks, Financial Intermediaries, Payment Aggregato"
established at i4c,1,3-gram,analytics,analytics(15),16,1,"e of the Art, Cyber Fraud Mitigation Centre (CFMC) has been established at I4C where representatives of major banks, Financial Intermediar"
collaboration with banks,1,3-gram,analytics,analytics(13),16,1,"ervice Providers, mandating them to pilot this framework in collaboration with banks. Given the sensitivity of banking transactions and cases of"
personalization,1,1-gram,GPT,GPT(5),8,1,"ital, XR offers new ways to enhance customer engagement and personalization. This theme focuses on leveraging immersive technologies in"
provides the foundational,1,3-gram,GPT,GPT(4) | language translation(4),5,1,"gressing to Entrepreneurship Development Programmes (EDPs), provides the foundational orientation and detailed capacity building support to the b"
summit key,1,2-gram,GPT,IndiaAI(7) | GPT(4),2,1,
tinkerpreneur,1,1-gram,GPT,IndiaAI(7) | compute(6) | GPT(3) | language translation(3),9,1,ATL Tinkerpreneur 2024: Atal Innovation Mission calls for applications The
impact challenges,1,2-gram,GPT,IndiaAI(6) | compute(6) | GPT(3) | language translation(3),10,1,Defence Secretary mentioned that the introduction of Joint IMPACT Challenges was a distinctive initiative aimed at collaboratively advan
enabled remote,1,2-gram,GPT,GPT(3) | language translation(3),10,1,"for rapid adaptation, giving rise to E-Lok Adalats , which enabled remote participation and brought justice directly into people’s ho"
safe deployment,1,2-gram,GPT,GPT(3) | language translation(3),9,1,need for a balanced regulatory system that facilitates the safe deployment of modern biotechnologies to achieve food and nutritional s
highlights ongoing,1,2-gram,GPT,GPT(3) | language translation(3),5,1,
countries international organisations,1,3-gram,GPT,GPT(3) | language translation(3),7,1,
ecosystem initiatives,1,2-gram,GPT,GPT(3) | language translation(3),6,1,
impact events,1,2-gram,GPT,GPT(3) | language translation(3),6,1,"paign jointly implemented by DDWS and MoHUA began with high-impact events across the country. Secretary DDWS, Sh, Ashok KK M"
learning and international,1,3-gram,GPT,GPT(3),5,1,"isk mapping technology, research, media, capacity building, learning and international cooperation will help the nation build climate-resilient in"
provide comprehensive framework,1,3-gram,GPT,GPT(3),1,1,"mation Technology, Shri Ashwini Vaishnaw said this MoU will provide comprehensive framework for collaboration to the Indian Railways in various areas,"
real world public,1,3-gram,GPT,compute(7) | GPT(3),8,1,
initiatives like kisan,1,3-gram,GPT,GPT(3),6,1,"ting us on track to achieve a $300 billion bioeconomy. With initiatives like Kisan Kavach, we are not only safeguarding our farmers but also a"
technology meity meity,1,3-gram,GPT,GPT(3),5,1,
responsible and trusted,1,3-gram,GPT,GPT(3),5,1,"va Bandhu Bharat (December), highlighting India’s role as a responsible and trusted global partner. Smt. Kanchan Prasad, Director General ("
innovation and deployment,1,3-gram,GPT,language translation(4) | GPT(3),7,1,
potential to accelerate,1,3-gram,GPT,compute(6) | GPT(3),13,1,"tion in Telangana today, the Prime Minister highlighted its potential to accelerate regional development by connecting to the Outer Ring Road."
solving and entrepreneurial,1,3-gram,GPT,GPT(3),6,1,"irls, it is essential to nurture critical thinking, problem-solving and entrepreneurial skills among our young minds, equipping them with ability t"
scale capacity building,1,3-gram,GPT,GPT(3),12,3,"wards data-driven evaluation, digital governance, and large-scale capacity building as central pillars of public service reform. Vice Presi"
innovation problem,1,2-gram,GPT,GPT(3),5,1,
facilities technical,1,2-gram,GPT,GPT(3),6,1,
weave together,1,2-gram,GPT,GPT(3),5,1,"l heritage, and has within it a tapestry of traditions that weave together communities in harmony. We see its restoration now. The ent"
supporting high impact,1,3-gram,GPT,GPT(3),6,1,
deployment aligned,1,2-gram,GPT,GPT(3),4,1,
builds public,1,2-gram,GPT,GPT(3),6,1,"gic communication in ensuring that research informs policy, builds public trust, and reaches communities effectively. The session emp"
stpi supports,1,2-gram,GPT,GPT(3),4,1,
monitor crop,1,2-gram,GPT,GPT(3),5,1,"ncy unmatched by existing missions. The satellite will help monitor crop water stress, irrigation needs, water resources, urban ecos"
societal outcomes,1,2-gram,GPT,GPT(3),15,1,bhava: A comprehensive 10-year impact report on IDY and its societal outcomes. Yoga Connect: A global online yoga summit held on 14th J
events pre,1,2-gram,GPT,GPT(3),4,1,
stpi stpi,1,2-gram,GPT,GPT(3),4,1,
delivering measurable social,1,3-gram,GPT,GPT(3),4,1,"rivate sector engagement, and partnership-led approaches to delivering measurable social impact. The conversations also enabled an exchange of learn"
digital india ensures,1,3-gram,GPT,GPT(3),4,1,
deployment bringing,1,2-gram,GPT,GPT(3),4,1,
participation and supports,1,3-gram,GPT,GPT(3),4,1,"e PRITHVI scheme combines scientific monitoring with public participation and supports long-term efforts related to seawater quality assessment, m"
transparency of public,1,3-gram,GPT,GPT(3),4,1,"Amendment Bill seeks to uphold the integrity, fairness and transparency of public examinations, protect the interests of deserving and merito"
transport corporation upsrtc,1,3-gram,Safe City,Safe City(4),5,1,
ahmedabad bengaluru chennai,1,3-gram,Safe City,Safe City(7),9,2,
kolkata lucknow,1,2-gram,Safe City,Safe City(7),9,2,
shakti in which,1,3-gram,Safe City,Safe City(3),5,1,
rehabilitation of women,1,3-gram,Safe City,Safe City(3),4,1,"i, in which the component of Shakti Sadan is for relief and rehabilitation of women in difficult circumstances, including victims of acid attac"
which the component,1,3-gram,Safe City,Safe City(3),4,1,"dministers sub-scheme “Samarthaya” under Mission Shakti, in which the component of Shakti Sadan is for relief and rehabilitation of women i"
support to fight,1,3-gram,Safe City,Safe City(3),4,1,"a Sundays on Cycle’ from Lucknow; Kishore Jena, PEFI Pledge Support to Fight Obesity Intensifying the fight against obesity, Union Min"
emergency access,1,2-gram,Safe City,Safe City(3),5,1,"will save time and money. Life will be more peaceful.” Emergency access is another life-changing promise. “In emergencies, the nigh"
acid attacks,1,2-gram,Safe City,Safe City(3),5,1,"legal, institutional and policy framework for prevention of acid attacks, punishment of offenders, protection of survivors and their"
police medical,1,2-gram,Safe City,Safe City(3),6,1,
scheme samarthya,1,2-gram,Safe City,Safe City(3),5,1,
counselling psychological support,1,3-gram,Safe City,Safe City(3),5,1,
development also administers,1,3-gram,Safe City,Safe City(3),4,1,"n police stations. Further, the Ministry of Women and Child Development also administers sub-scheme “Samarthaya” under Mission Shakti, in which the"
counselling psychological,1,2-gram,Safe City,Safe City(3),5,1,
immediate emergency,1,2-gram,Safe City,Safe City(3),5,1,"ecially border states, be effectively established to ensure immediate emergency healthcare, if required. He also directed that a 24*7 contr"
young girls who,1,3-gram,Safe City,Safe City(3),4,1,"or all women weightlifters. Her presence should inspire the young girls who are taking part in weightlifting,” said Dr. Mandaviya."
oscs provide,1,2-gram,Safe City,Safe City(3),4,1,"entre ( OSC ) Scheme with effect from April 01, 2015. These OSCs provide a range of integrated services under one roof including pol"
far women helplines,1,3-gram,Safe City,Safe City(3),4,1,
cyber related cases,1,3-gram,Safe City,Safe City(3),4,1,"s enhanced capacity is aimed at facilitating examination of cyber related cases. At present, a total of 03 (three) in-house regular exp"
having disposed,1,2-gram,Safe City,Safe City(3),4,1,"nally, NCL has made significant progress in scrap disposal, having disposed of 1,661 MT of scrap materials out of a targeted 2,180 MT."
cnc machining,1,2-gram,Smart City,Smart City(11),15,1,"and Computer-Aided Manufacturing (CAD-CAM) technologies and CNC machining to improve product quality, precision and efficiency. The M"
technician electrical,1,2-gram,Smart City,Smart City(11),12,1,
cum app,1,2-gram,Smart City,Smart City(11),12,1,Developed in year 1 Smartphone Technician Cum App Tester 10th Six Months 3 2018
cum app tester,1,3-gram,Smart City,Smart City(11),12,1,Developed in year 1 Smartphone Technician Cum App Tester 10th Six Months 3 2018 2
app tester,1,2-gram,Smart City,Smart City(11),12,1,eloped in year 1 Smartphone Technician Cum App Tester 10th Six Months 3 2018 2
manufacturing cam,1,2-gram,Smart City,Smart City(11),12,1,
hydro power plant,1,3-gram,Smart City,Smart City(11),13,1,g power. Tehri HPC consists of the following: Tehri Hydro Power Plant (Tehri HPP) - 1000 MW (4×250MW) 2. Koteshwar Hydro Elec
smartphone technician cum,1,3-gram,Smart City,Smart City(11),12,1,vel from 2024-25 Developed in year 1 Smartphone Technician Cum App Tester 10th Six Months 3 2018
technician cum,1,2-gram,Smart City,Smart City(11),12,1,24-25 Developed in year 1 Smartphone Technician Cum App Tester 10th Six Months 3 2018
aided manufacturing cam,1,3-gram,Smart City,Smart City(11),12,1,
technician computer,1,2-gram,Smart City,Smart City(8),3,1,
advanced tool,1,2-gram,Smart City,Smart City(8),10,1,"lty of the approach lies in the synergistic use of LAT with advanced tool coatings, a combination not widely explored earlier. These"
junior drone technician,1,3-gram,Smart City,Smart City(8),2,1,
pilot junior drone,1,3-gram,Smart City,Smart City(8),2,1,
verifier,1,1-gram,Smart City,Smart City(8),9,1,"e-longitude details of the hospital along with the physical verifier which ensures that the visit has taken place. Further, HEM"
electrical technician,1,2-gram,Smart City,Smart City(8),2,1,r - Control Panel Electronics and Hardware Electrical Technician Electronics and Hardware Electrician
junior drone,1,2-gram,Smart City,Smart City(8),2,1,
technician smartphone,1,2-gram,Smart City,Smart City(8),2,1,
township limited,1,2-gram,Smart City,Smart City(7),9,1,"n investment of Rs. 2,427 crore. The Maharashtra Industrial Township Limited (MITL), a Special Purpose Vehicle (SPV) formed with a 51:49"
industrial township limited,1,3-gram,Smart City,Smart City(7),9,1,"ized with an investment of Rs. 2,427 crore. The Maharashtra Industrial Township Limited (MITL), a Special Purpose Vehicle (SPV) formed with a 51:49"
maharashtra industrial township,1,3-gram,Smart City,Smart City(6),8,1,"been prioritized with an investment of Rs. 2,427 crore. The Maharashtra Industrial Township Limited (MITL), a Special Purpose Vehicle (SPV) formed with"
mitl,1,1-gram,Smart City,Smart City(6),8,1,". 2,427 crore. The Maharashtra Industrial Township Limited (MITL), a Special Purpose Vehicle (SPV) formed with a 51:49 partn"
needs and local,1,3-gram,Smart City,Smart City(6),12,1,"ation with industry, ensuring alignment with emerging skill needs and local industrial potential. The Hub-and-Spoke ITI clusters would"
industry ensuring alignment,1,3-gram,Smart City,Smart City(6),12,1,
annotation,1,1-gram,FutureSkills,IndiaAI(12) | Smart City(11) | FutureSkills(9),30,2,"etailed graphical summary, infographics and genome assembly/annotation details. These documents will thus give an idea about the s"
aided manufacturing,1,2-gram,Smart City,Smart City(11),13,2,"for fabrication of Computer Aided Designing (CAD), Computer Aided Manufacturing (CAM) Prosthesis. Patient Specific implants for rehabilitat"
drone pilot junior,1,3-gram,Smart City,Smart City(11),13,2,
like mission karmayogi,1,3-gram,face recognition,face recognition(4),8,4,"accountability, and efficiency, as reflected in initiatives like Mission Karmayogi, which has institutionalized capacity building for civil se"
grievances annually,1,2-gram,face recognition,face recognition(3),6,1,Insurance Divisions) has been receiving more than 2.50 lakh grievances annually. It has consistently figured among the top 10 Ministries/De
mother father,1,2-gram,face recognition,face recognition(3),4,1,
corruption act,1,2-gram,face recognition,face recognition(5),9,6,"rth. Referring to the recent amendment to the Prevention of Corruption Act, 1988, the union minister said the Government under PM Modi"
prevention of corruption,1,3-gram,face recognition,face recognition(5),10,6,"of a Still Birth. Referring to the recent amendment to the Prevention of Corruption Act, 1988, the union minister said the Government under PM"
enhance passenger safety,1,3-gram,face recognition,face recognition(3),10,7,units at their railway stations to prevent trafficking and enhance passenger safety. RPF is undertaking a very proactive role to make sure
beneficiaries registered,1,2-gram,face recognition,face recognition(4),15,6,"1 Target 3,79,37,139 2 Beneficiaries Registered 3,70,94,350 4 House Sanctioned"
genuine beneficiaries,1,2-gram,face recognition,face recognition(3),10,6,"nd is done as a de-duplication exercise to authenticate the genuine beneficiaries, to make the benefits of the social welfare schemes availab"
initiatives like mission,1,3-gram,face recognition,face recognition(3),14,9,"dhu’ in a divided world”, PM Modi said. He mentioned Indian initiatives like Mission LiFE for combating climate change and the vision of One Ear"
conference theme,1,2-gram,face recognition,face recognition(3),14,7,"edge, experiences and expertise on different aspects of the conference theme. Stakeholders from industry, academia and research organiza"
reply to question,1,3-gram,face recognition,face recognition(4),10,9,"Shipping and Waterways, Shri Sarbananda Sonowal in written reply to QUESTION NO. 5693 in the Lok Sabha. ***** GDH/HR"
obsolete rules,1,2-gram,face recognition,face recognition(3),18,10,"Dr Jitendra Singh said the Government scrapped about 2,000 obsolete rules and deregulated the economy that earlier proved to be detri"
general rpf,1,2-gram,face recognition,face recognition(3),14,11,
access control,1,2-gram,face recognition,face recognition(4),30,15,Expressway has been recently opened to traffic. The 8-lane access control Urban Expressway connects Delhi-Haryana border to Kherki Da
jeevan pramaan,1,2-gram,face recognition,face recognition(3),17,11,"lation of two applications, viz. ""Aadhaar Face RD” and the ""Jeevan Pramaan"" in their smartphones. The operator authentication for thes"
pramaan,1,1-gram,face recognition,face recognition(3),17,11,"of two applications, viz. ""Aadhaar Face RD” and the ""Jeevan Pramaan"" in their smartphones. The operator authentication for thes"
enhancing the safety,1,3-gram,face recognition,face recognition(3),20,13,r Operation ‘Sanraksha’: This operation is launched for enhancing the safety of passengers. Action is being taken against the criminals
out of them,1,3-gram,face recognition,face recognition(3),17,14,"icipation. There are 55,815 PVTGs in the entire population, out of them 18+ are 39,498 and all are registered in the electoral roll"
ration thr,1,2-gram,face recognition,face recognition(4),32,15,
home ration thr,1,3-gram,face recognition,face recognition(4),32,15,
ekyc,1,1-gram,face recognition,face recognition(4),36,16,"of registration of fresh and renewal candidates on the NSP, eKYC status of Institutes, biometric authentication process of I"
pension reforms,1,2-gram,face recognition,face recognition(4),27,18,"Minister Narendra Modi took charge in May 2014, a series of pension reforms had been introduced, one after the other, with a sensitive"
poshan tracker application,1,3-gram,face recognition,face recognition(3),34,12,provided Rs. 2000 per annum for internet connectivity. Poshan Tracker Application is being used to report data on various nutrition indicator
tracker application,1,2-gram,face recognition,face recognition(3),34,12,ed Rs. 2000 per annum for internet connectivity. Poshan Tracker Application is being used to report data on various nutrition indicator
digital life certificates,1,3-gram,face recognition,face recognition(8),56,37,"o further ensure that all remaining pensioners submit their Digital Life Certificates to avoid discontinuation of their pension, a review meeting"
redressal systems,1,2-gram,face recognition,face recognition(4),41,20,ives and the implementation of centralized public grievance redressal systems. The program also includes a presentation session by the di
event dr jitendra,1,3-gram,face recognition,face recognition(3),29,15,
governance challenges,1,2-gram,face recognition,face recognition(3),29,15,"e roles & responsibilities of District Collectors in India, governance challenges and reforms aimed at enhancing public service delivery were"
anganwadi worker,1,2-gram,face recognition,face recognition(3),20,13,ng Care Framework. The framework is designed to provide the Anganwadi Worker with a basic understanding of how children grow and develop
decade dr jitendra,1,3-gram,face recognition,face recognition(3),23,15,
bio e3 policy,1,3-gram,face recognition,face recognition(3),34,15,motion of high-performance biomanufacturing and approval to Bio E3 policy. Throwing light on the developments in the green energy
multilingual support,1,2-gram,face recognition,face recognition(3),56,16,"ak Portal and Helpline (KRPH) 14447. This platform provides multilingual support, enabling transparent communication and real-time resolutio"
like mission,1,2-gram,face recognition,face recognition(4),32,23,"so extend enabling support through their respective schemes like Mission for Integrated Development of Horticulture, Agriculture Exp"
home ration,1,2-gram,face recognition,face recognition(4),43,20,"ors such as registration of beneficiaries, delivery of Take Home Ration (THR – not raw ration) and Hot Cooked Meal (HCM), updating"
take home ration,1,3-gram,face recognition,face recognition(4),43,20,"dicators such as registration of beneficiaries, delivery of Take Home Ration (THR – not raw ration) and Hot Cooked Meal (HCM), updating"
socrates,1,1-gram,machine learning,machine learning(13),18,2,"es. I remember at this time what a great philosopher in pre-Socrates era said, Heraclitus, the only constant in life is change."
forecasting system bharatfs,1,3-gram,deep learning,machine learning(10) | deep learning(5),16,1,
python,1,1-gram,data science,machine learning(9) | data science(4),10,1,"Hypo zero Bearded Dragon, African spurred tortoise, Borneo python, Green iguana, Mangrove monitor lizard, Argentine black and"
technology innovation hubs,1,3-gram,large language model,machine learning(17) | large language model(8) | language model(8) | Drishti(3),43,3,c technologies. One such initiative is the setting up of 25 technology innovation hubs by the Department of Science and Technology (DST) across th
cannot enter,1,2-gram,machine learning,machine learning(8),10,1,"then he buttressed it by an instance, that the same person cannot enter the same river twice, because neither the person is the sam"
physics based,1,2-gram,deep learning,machine learning(8) | deep learning(5),14,1,
cyclone intensity,1,2-gram,pest surveillance,machine learning(8) | deep learning(4) | pest surveillance(4) | large language model(3) | language model(3),10,1,"dictions on the trends in sea level along the Indian coast, cyclone intensity and frequency, storm surges, wind waves, biogeochemistry, a"
collaborative approach ensures,1,3-gram,deep learning,deep learning(4),5,1,refining and advancing the transformation initiatives. This collaborative approach ensures that the collective wisdom of the veteran community is full
analysis of weather,1,3-gram,deep learning,deep learning(4),6,1,ure. The Ministry carries out continuous monitoring and analysis of weather and climate across the country. Information on extreme temp
land surface,1,2-gram,deep learning,deep learning(6),11,2,"tion global coupled model integrates the atmosphere, ocean, land surface, and sea ice components with state-of-the-art physics and a"
imaging device,1,2-gram,deep learning,deep learning(3),5,1,"estically manufactured medical devices in the radiotherapy, imaging device, anaesthesia, cardio-respiratory and critical care and impl"
activities and operational,1,3-gram,deep learning,deep learning(3),4,1,"ilotline is already underway and also spoke about expanding activities and operational presence in Bangalore, Hyderabad and Noida. He also mention"
research across institutes,1,3-gram,deep learning,deep learning(3),4,1,"orms not only showcased the depth and diversity of doctoral research across institutes but also provided opportunities for peer learning, expert f"
collaborative research across,1,3-gram,deep learning,deep learning(3),5,1,"rated national models such as One Week- One Theme, enabling collaborative research across CSIR, DBT, and partner institutes. A formal technology"
methodologies into,1,2-gram,deep learning,deep learning(3),4,1,nd to obtain expert guidance for incorporating standardized methodologies into the National Technical Guideline which will be an input to
into their research,1,3-gram,deep learning,deep learning(3),4,1,"ortunity to interact with ICMR scientists, gaining insights into their research journeys, areas of expertise, and everyday work in public h"
global coupled,1,2-gram,deep learning,deep learning(3),6,1,"e Mithuna Forecast System (Mithuna-FS). This new-generation global coupled model integrates the atmosphere, ocean, land surface, and s"
based and climate,1,3-gram,deep learning,deep learning(3),5,1,to changing climate conditions. He also called for research-based and climate-adapted farming. “We must adopt the latest te
urban model,1,2-gram,deep learning,deep learning(3),6,1,"ts over the Indian subcontinent; A 330-m hyper-resolution urban model for fog, visibility, and air-quality forecasting over the D"
generation global coupled,1,3-gram,deep learning,deep learning(3),6,1,"ction of the Mithuna Forecast System (Mithuna-FS). This new-generation global coupled model integrates the atmosphere, ocean, land surface, and s"
surface and sea,1,3-gram,deep learning,deep learning(3),6,1,
upgraded data,1,2-gram,deep learning,deep learning(3),6,1,"and sea ice components with state-of-the-art physics and an upgraded data assimilation framework. Currently, this forecasting system"
upgraded data assimilation,1,3-gram,deep learning,deep learning(3),6,1,"and sea ice components with state-of-the-art physics and an upgraded data assimilation framework. Currently, this forecasting system operates at 1"
ocean land surface,1,3-gram,deep learning,deep learning(3),6,1,
chirps,1,1-gram,deep learning,deep learning(3),4,1,"of cities, sparrows once filled the air with their cheerful chirps. Flocks of these tiny birds, uninvited yet welcome, created"
atmosphere ocean land,1,3-gram,deep learning,deep learning(3),6,1,
regional model,1,2-gram,deep learning,deep learning(3),8,1,"thuna-FS suite also includes – A 4-km high-resolution regional model for accurate simulation of monsoon dynamics, cyclones, and"
multi scale,1,2-gram,deep learning,deep learning(3),5,1,
mithuna,1,1-gram,deep learning,deep learning(3),13,1,"el. Further, a major achievement is the introduction of the Mithuna Forecast System (Mithuna-FS). This new-generation global co"
ocean land,1,2-gram,deep learning,deep learning(3),7,2,
advisories for agriculture,1,3-gram,deep learning,deep learning(3),5,1,al operations. Impact-based forecast (IBFs) and appropriate advisories for agriculture are also being prepared by AMFUs based on the severe weathe
wearable technology,1,2-gram,deep learning,deep learning(3),8,1,"sity interconnect PCBs are used in consumer electronics and wearable technology, automotive electronics, medical devices, telecommunication"
retina,1,1-gram,deep learning,deep learning(3),6,1,ed surgical instrumentation and imaging with the Heidelberg Retina Angiograph (HRA) to visualise aqueous outflow pathways in r
machine translation,1,2-gram,language translation,Bhashini(13) | IndiaAI(7) | language translation(7) | deep learning(3),17,5,aining (NCERT) is running a Bhasha Sangam programme as also Machine Translation cell which is translating various books into the scheduled
aas bulletins,1,2-gram,deep learning,deep learning(3),4,1,"ur, Vellayani and Kumarakomare preparing the district level AAS bulletins for all agriculturally important districts of Kerala. These"
ibfs and appropriate,1,3-gram,deep learning,deep learning(3),4,1,
friday in english,1,3-gram,deep learning,deep learning(3),4,1,
across indian languages,1,3-gram,language model,Bhashini(14) | language model(4) | language translation(4),17,1,2025 with official adoption of a consistent Braille system across Indian languages for education and accessibility. The same has been adopted
real time translation,1,3-gram,language translation,Bhashini(12) | language translation(7),21,1,
time translation,1,2-gram,language translation,Bhashini(12) | language translation(7),21,1,"ation and Academic writing); Bahubhasha Shabdkosh; and Real-time Translation Architecture. Addressing the audience, Shri Murthy said tha"
text to text,1,3-gram,Bhashini,Bhashini(11),15,5,
speech to text,1,3-gram,language model,Bhashini(21) | language model(7) | large language model(6),35,2,
text translation,1,2-gram,language translation,Bhashini(10) | language translation(3),11,3,r 2022 to develop core language technologies for speech and text translation for 22 Scheduled Indian languages in the open source. The B
inferences,1,1-gram,language translation,Bhashini(19) | language translation(7),21,2,r predicting seasonal mean monsoon rainfall over India. The inferences from climate models and extensive research put forward also
low resource,1,2-gram,Bhashini,Bhashini(9),17,1,"Rural Health Centre. He spoke on 'Effective Strategies for low resource settings: Insights gained from my IAF journey', portraying"
inclusive language,1,2-gram,language translation,Bhashini(9) | language translation(6),10,1,"Specialist, UNICEF, emphasized the importance of disability-inclusive language, noting that inclusive communication plays a critical role"
multilingual digital,1,2-gram,Bhashini,Bhashini(17),26,2,CS. Enhanced engagement via Nukkad Natak programmes and a multilingual digital newsletter in 10 languages shared through the website and W
text to speech,1,3-gram,language translation,Bhashini(17) | language translation(8) | large language model(5),35,2,
across linguistic,1,2-gram,Bhashini,Bhashini(8),11,1,"h and breadth of the country and ensured equitable sampling across linguistic, social, and regional groups in India. Approximately, 36.7%"
language accessibility,1,2-gram,Bhashini,Bhashini(8),12,1,"made accessible, with 476 of them live. Education and Language Accessibility The Indian Sign Language Research and Training Centre"
real world use,1,3-gram,language translation,Bhashini(7) | language translation(5),18,1,
text speech,1,2-gram,large language model,large language model(9) | language model(9) | Bhashini(7) | pest surveillance(4),18,1,
across diverse linguistic,1,3-gram,language translation,Bhashini(7) | language translation(3),10,3,"nguages of India, greatly enhancing its reach and usability across diverse linguistic communities. On this occasion, the State/UT-wise Panchayat"
diverse linguistic communities,1,3-gram,Bhashini,Bhashini(7),10,3,"of India, greatly enhancing its reach and usability across diverse linguistic communities. On this occasion, the State/UT-wise Panchayat Profile, whi"
platforms and institutions,1,3-gram,Bhashini,Bhashini(7),8,1,
language technology,1,2-gram,Bhashini,Bhashini(27),39,6,"rable PM Shri Narendra Modi in July 2022 under the National Language Technology Mission, BHASHINI aims to provide technology translation se"
speech translation,1,2-gram,language translation,Bhashini(6) | language translation(3),11,1,"oid platform. The project aims to enable real-time text and speech translation between Hindi, English, and multiple tribal languages (and"
digital public services,1,3-gram,Bhashini,Bhashini(6),11,1,"logy-Driven.” He remarked that the pavilion illustrates how digital public services can empower individuals, support enterprises, and strengthe"
use cases across,1,3-gram,FutureSkills,IndiaAI(11) | compute(10) | Bhashini(6) | FutureSkills(4),23,1,"lume-3 , showcasing best practices and successful on-ground use cases across social, economic, and infrastructure sectors. LEAPS 2025"
first multilingual,1,2-gram,Bhashini,Bhashini(6),9,1,DDWS Organises First Multilingual Sujal Gram Samvad; Villagers Share Stories of Transformatio
india's national initiative,1,3-gram,Bhashini,Bhashini(6),10,1,"The Accessible India Campaign (Sugamya Bharat Abhiyan) is India's national initiative, launched in 2015, by the Department of Empowerment of Pers"
model development,1,2-gram,language model,compute(12) | Bhashini(11) | language model(6),26,2,lar to those in its predecessor. All details related to the model development and results have been published in a peer-reviewed research
conversational,1,1-gram,Bhashini,Bhashini(15),53,3,"y. He said that we must make Hindi acceptable, flexible and conversational. He exuded confidence that the Hindi Shabd Sindhu dictionar"
transcend language,1,2-gram,Bhashini,Bhashini(5),8,3,"rm, developed in collaboration with BHASHINI, which aims to transcend language barriers, ensuring that every citizen can easily access dig"
ihub,1,1-gram,Drishti,Drishti(4),15,1,"for continuous learning and hands-on practice. Divyasampark IHUB Roorkee trained 17,409 students under the TSP Program for D"
prosperity self,1,2-gram,Drishti,Drishti(3),6,2,
bits biocytih foundation,1,3-gram,Drishti,Drishti(3),4,1,"n for Innovation and Technology Transfer (FITT), IIT Delhi, BITS BioCyTiH Foundation and TBI-KIET. India’s first high precision and"
biocytih foundation,1,2-gram,Drishti,Drishti(3),4,1,"Innovation and Technology Transfer (FITT), IIT Delhi, BITS BioCyTiH Foundation and TBI-KIET. India’s first high precision and"
biocytih,1,1-gram,Drishti,Drishti(3),4,1,"Innovation and Technology Transfer (FITT), IIT Delhi, BITS BioCyTiH Foundation and TBI-KIET. India’s first high pre"
bits biocytih,1,2-gram,Drishti,Drishti(3),4,1,"n for Innovation and Technology Transfer (FITT), IIT Delhi, BITS BioCyTiH Foundation and TBI-KIET. India’s first high pre"
ioe,1,1-gram,large language model,large language model(8) | language model(8) | Drishti(3),19,1,IAF PLANS INDUSTRY OUTREACH EVENT (IOE) 2025 AT AIR FORCE STATION GUWAHATI In a bid to bolster I
ndma ndrf,1,2-gram,Drishti,Drishti(3),5,2,
samriddh evam,1,2-gram,Drishti,Drishti(3),5,2,Raj SVAMITVA Scheme – Aatmanirbhar Panchayat se Samriddh evam Aatmanirbhar Bharat Ministry of
operation sindoor victory,1,3-gram,Drishti,Drishti(3),4,2,
hornbill festival celebrating,1,3-gram,Drishti,Drishti(3),4,2,
sindoor victory,1,2-gram,Drishti,Drishti(3),4,2,
mantra of prosperity,1,3-gram,Drishti,Drishti(3),6,2,
manipur towards,1,2-gram,Drishti,Drishti(3),4,2,"y Expressing pride about the role played by the people of Manipur towards India’s development, the Prime Minister Shri Narendra Modi"
tableau operation sindoor,1,3-gram,Drishti,Drishti(3),4,2,
nagaland the hornbill,1,3-gram,Drishti,Drishti(3),4,2,
tableau operation,1,2-gram,Drishti,Drishti(3),4,2,
panchayat se samriddh,1,3-gram,Drishti,Drishti(3),5,2,of Panchayati Raj SVAMITVA Scheme – Aatmanirbhar Panchayat se Samriddh evam Aatmanirbhar Bharat Ministr
ease my trip,1,3-gram,Drishti,Drishti(3),4,4,MoRD and Ease My Trip signed MoU to enable Lakhpati Didis in the Travel and Touri
trading pvt ltd,1,3-gram,Drishti,Drishti(3),4,4,"16 Group of Monuments, Hauz Khas Tata Power Trading Pvt Ltd Delhi 17 Delhi Gate Redtape Lt"
fort agra,1,2-gram,Drishti,Drishti(3),4,4,
trading pvt,1,2-gram,Drishti,Drishti(3),4,4,"16 Group of Monuments, Hauz Khas Tata Power Trading Pvt Ltd Delhi 17 Delhi Gate Redtap"
mori gate,1,2-gram,Drishti,Drishti(3),4,4,dtape Ltd Delhi 18 Kashmiri gate and Mori Gate Redtape Ltd Delhi 19 Rock Shel
raho,1,1-gram,Drishti,Drishti(3),6,4,"arly days as an assistant. Films like ‘Boot Polish’, ‘Jagte Raho’ and ‘Baawre’ showcased his compassion for the forgotten an"
systems innovation,1,2-gram,Drishti,Drishti(4),9,2,
csir national aerospace,1,3-gram,Drishti,Drishti(4),13,3,
victory through jointness,1,3-gram,Drishti,Drishti(3),6,3,"Jointness among the Services, duly living up to its motto 'Victory Through Jointness'. *** VK/SR/Anand"
